translation,reference,source,translation_clean,reference_clean,source_clean
" When the look is finished with the risk analysis, it is the test.",When have Luke finished the risk analysis? He frowned.,"Quando Luke terminou a análise de risco?, ele franziu a testa.", when the look is finished with the risk analysis it is the test ,when have luke finished the risk analysis he frowned ,quando luke terminou a análise de risco ele franziu a testa 
 The correct understanding between Europe and the countries and Mediterranean is key.,The correct understanding between Europe and the associated Mediterranean countries is the key.,O entendimento correto entre a Europa e os países mediterrânicos associados é a chave., the correct understanding between europe and the countries and mediterranean is key ,the correct understanding between europe and the associated mediterranean countries is the key ,o entendimento correto entre a europa e os países mediterrânicos associados é a chave 
 A woman is having a good time in the balance of the balance.,A girl is having a good time swinging on a swing in the air.,Uma menina está tendo um bom tempo no ar balançando em um balanço., a woman is having a good time in the balance of the balance ,a girl is having a good time swinging on a swing in the air ,uma menina está tendo um bom tempo no ar balançando em um balanço 
 2 Casac's faces in the beach are making signs.,Two guys wearing coats on the beach are making signs.,Dois caras de casacos na praia estão fazendo sinais., 2 casac s faces in the beach are making signs ,two guys wearing coats on the beach are making signs ,dois caras de casacos na praia estão fazendo sinais 
 please suitable to play with to anymore well,Looking for her to have something to eat.,Procurando por ela para ter algo para comer, please suitable to play with to anymore well,looking for her to have something to eat ,procurando por ela para ter algo para comer
 look at the,The fallen flower doesn’t returns to the branch.,A flor caída não retorna mais ao ramo., look at the,the fallen flower doesn t returns to the branch ,a flor caída não retorna mais ao ramo 
 Certainly I would have been in my contract.,Fore sure it would meet the requirements of my contract.,Certamente cumpriria os requisitos do meu contrato., certainly i would have been in my contract ,fore sure it would meet the requirements of my contract ,certamente cumpriria os requisitos do meu contrato 
 place the pieces on the boots,The boy put the stones in the bag.,O garoto colocou as pedras na bolsa., place the pieces on the boots,the boy put the stones in the bag ,o garoto colocou as pedras na bolsa 
 First alien pyramid for walked on the road,This is a great season for hikes on the road.,Esta é uma grande temporada para caminhadas na estrada., first alien pyramid for walked on the road,this is a great season for hikes on the road ,esta é uma grande temporada para caminhadas na estrada 
" You learned something? Ask English, anxious to hear what could be.","""Did you learn anything??"", the English man asked looking forward to hearing what it could be.","""Você aprendeu alguma coisa??"", Perguntou o inglês, ansioso para ouvir o que poderia ser.", you learned something ask english anxious to hear what could be , did you learn anything the english man asked looking forward to hearing what it could be , você aprendeu alguma coisa perguntou o inglês ansioso para ouvir o que poderia ser 
 He told me that the declaration of speech is the last resource.,He told me that bankruptcy declaration is the last resource.,Ele me disse que a declaração de falência é o último recurso., he told me that the declaration of speech is the last resource ,he told me that bankruptcy declaration is the last resource ,ele me disse que a declaração de falência é o último recurso 
 The Tells Me Thoughts on the W vielen timeline,He had sniffles all day.,Ele teve sniffles durante todo o dia., the tells me thoughts on the w vielen timeline,he had sniffles all day ,ele teve sniffles durante todo o dia 
 Do you have someone to admire Froles?,You have someone to wash your diapers.,Você tem alguém para lavar as fraldas., do you have someone to admire froles ,you have someone to wash your diapers ,você tem alguém para lavar as fraldas 
 I want to see you.,I want those stamps!,Eu quero esses selos!, i want to see you ,i want those stamps ,eu quero esses selos 
 You said they were rich?,Did you say they were rich?,Você disse que eles eram ricos?, you said they were rich ,did you say they were rich ,você disse que eles eram ricos 
 And I don't care about what pictures they are posting.,I don't care which picture they're posting.,Eu não me importo com qual foto eles estão publicando., and i don t care about what pictures they are posting ,i don t care which picture they re posting ,eu não me importo com qual foto eles estão publicando 
 its rocket failure is a mistake,The guy went to the crowd and got lost.,O sujeito escorregou para a multidão e se perdeu., its rocket failure is a mistake,the guy went to the crowd and got lost ,o sujeito escorregou para a multidão e se perdeu 
 this is the stopping position,Did she guarantee this place?,Ela garantiu esse lugar?, this is the stopping position,did she guarantee this place ,ela garantiu esse lugar 
 i will leave constantly,Will go out in flesh and blood,vai sair em carne e osso, i will leave constantly,will go out in flesh and blood,vai sair em carne e osso
 I began to find root cells to end up with blood,The lid on the jar was too tight to get the lid off.,A tampa da jarra estava apertada demais para desatarraxar., i began to find root cells to end up with blood,the lid on the jar was too tight to get the lid off ,a tampa da jarra estava apertada demais para desatarraxar 
 The owners want to join with an lawyer,I bet it is an invitation.,Aposto que é uma convocação., the owners want to join with an lawyer,i bet it is an invitation ,aposto que é uma convocação 
 Thank you very much for the good!,Thank you very much for the bag.,Muito obrigado pela bolsa., thank you very much for the good ,thank you very much for the bag ,muito obrigado pela bolsa 
 But he decided to buy his paddare and put some money on the side.,But he decided to buy his bakery first and put some money on the side.,Mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado., but he decided to buy his paddare and put some money on the side ,but he decided to buy his bakery first and put some money on the side ,mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado 
 That very lucky one came to vote another day.,"For he that fights and runs away, May live to fight another day.",Aquele que luta e foge? vive para lutar outro dia., that very lucky one came to vote another day ,for he that fights and runs away may live to fight another day ,aquele que luta e foge vive para lutar outro dia 
 any behavior that can be infringed on the right of the teacher.,Any behavior that may infringe the rights of the teacher...,Qualquer comportamento que possa infringir os direitos do professor, any behavior that can be infringed on the right of the teacher ,any behavior that may infringe the rights of the teacher ,qualquer comportamento que possa infringir os direitos do professor
" 1, man in one healthcare doctor, time to diet.","One, man, one, tan, shirt, cut, food","Um, homem, em, um, bronzeado, camisa, corte, alimento", 1 man in one healthcare doctor time to diet ,one man one tan shirt cut food,um homem em um bronzeado camisa corte alimento
 You should see this.,You should see this.,Você deveria ver isso., you should see this ,you should see this ,você deveria ver isso 
 Is the teacher of Kimberley?,Is that Kimberly’s teacher?,É o professor da Kimberly?, is the teacher of kimberley ,is that kimberly s teacher ,é o professor da kimberly 
 Show me the hours of movies.,Show me the movie times.,Mostre-me os horários dos filmes, show me the hours of movies ,show me the movie times ,mostre me os horários dos filmes
 Look at these shadows.,Take a look at those shoulders!,Olhe para esses ombros!, look at these shadows ,take a look at those shoulders ,olhe para esses ombros 
 Rap of Velho,A little present from the old man.,Um presentinho do velho., rap of velho,a little present from the old man ,um presentinho do velho 
 10 people are gathered on the outside of a building.,Ten people are gathered outside the building.,Dez pessoas estão reunidas do lado de fora de um prédio., 10 people are gathered on the outside of a building ,ten people are gathered outside the building ,dez pessoas estão reunidas do lado de fora de um prédio 
" A 보이 spoon, for the sailcit Margher''s",A rigid shoestring is used to secure the shoe.,Um cordão rígido serve para prender o sapato., a 보이 spoon for the sailcit margher s,a rigid shoestring is used to secure the shoe ,um cordão rígido serve para prender o sapato 
 chop Activity before going to school rồi p head beauty,The red neon lamp was broken.,A lâmpada de neon vermelha estava quebrada., chop activity before going to school rồi p head beauty,the red neon lamp was broken ,a lâmpada de neon vermelha estava quebrada 
 The young man appears to be maturing the metal on top of a wall.,A young man seems to be hammering metal on an anvil.,Um jovem parece estar martelando metal em cima de uma bigorna., the young man appears to be maturing the metal on top of a wall ,a young man seems to be hammering metal on an anvil ,um jovem parece estar martelando metal em cima de uma bigorna 
 Man is close one of the54's,A bald man eating a meal.,Um homem careca comendo uma refeição, man is close one of the54 s,a bald man eating a meal ,um homem careca comendo uma refeição
 One of the aspects that was worked in the last cycle was design.,One of the aspects that was worked on during the last cycle was the design.,Um dos aspectos que foi trabalhado no último ciclo foi o design., one of the aspects that was worked in the last cycle was design ,one of the aspects that was worked on during the last cycle was the design ,um dos aspectos que foi trabalhado no último ciclo foi o design 
" Right, it was formed by the interior design",She graduated in interior design.,Ela se formou em design de interiores, right it was formed by the interior design,she graduated in interior design ,ela se formou em design de interiores
 At any moment I could be murdered.,"At any moment, we could be killed!","A qualquer momento, poderíamos ser assassinados!", at any moment i could be murdered ,at any moment we could be killed ,a qualquer momento poderíamos ser assassinados 
 expands continue,To be continued...,Continua..., expands continue,to be continued ,continua 
 The girl was shocked.,The boy was shocked.,O menino ficou chocado., the girl was shocked ,the boy was shocked ,o menino ficou chocado 
 Put in the核.,Tap the circle to escape.,Toque no círculo para escapar., put in the核 ,tap the circle to escape ,toque no círculo para escapar 
 They started a practice in MESSA UBORNAIR.,They started bribing me right away!,Eles começaram logo em me subornar!, they started a practice in messa ubornair ,they started bribing me right away ,eles começaram logo em me subornar 
 A man plays violin in a rainy season.,A man plays the guitar on a rainy sidewalk.,Um homem toca violão em uma calçada chuvosa., a man plays violin in a rainy season ,a man plays the guitar on a rainy sidewalk ,um homem toca violão em uma calçada chuvosa 
 Take into account the grillers of the new typepe city.,Take into account the shackles of the New city of Taipei,Leve em conta os grilhões da Nova cidade de Taipei, take into account the grillers of the new typepe city ,take into account the shackles of the new city of taipei,leve em conta os grilhões da nova cidade de taipei
 We know each other.,You know Ana.,Você conhece a Ana., we know each other ,you know ana ,você conhece a ana 
 We see each other on the way home.,See you guys at lunch.,Nos vemos na hora do almoço, we see each other on the way home ,see you guys at lunch ,nos vemos na hora do almoço
" Well, this one took a long time, but because the apples are not.","Well, that’s a really long shot, but why the hell not?","Bem, isso é um tiro muito longo, mas por que diabos não?", well this one took a long time but because the apples are not ,well that s a really long shot but why the hell not ,bem isso é um tiro muito longo mas por que diabos não 
 The staff begins and starts to say thanks Younger brother will start everything To help him keep everything His goal was to take care of that To protect him from the problems,Shortly.,Daqui a pouco., the staff begins and starts to say thanks younger brother will start everything to help him keep everything his goal was to take care of that to protect him from the problems,shortly ,daqui a pouco 
" I should make sharp, marked",I should get my head examined.,Eu deveria ter minha cabeça examinada., i should make sharp marked,i should get my head examined ,eu deveria ter minha cabeça examinada 
 O meu meu Thomas!,The Roman Empire.,O Império Romano., o meu meu thomas ,the roman empire ,o império romano 
" As a result, I bought a total of 3 Limpas.","As a result, I bought a grand total of three books.","Como resultado, comprei um total de três livros.", as a result i bought a total of 3 limpas ,as a result i bought a grand total of three books ,como resultado comprei um total de três livros 
 And I'm all about the engine I told you I was.,I’m everything the prosecutor said that I was.,Eu sou tudo que o promotor disse que eu era., and i m all about the engine i told you i was ,i m everything the prosecutor said that i was ,eu sou tudo que o promotor disse que eu era 
 I don't have any opinion about who I am.,I don’t have any opinion on who I am.,Eu não tenho nenhuma opinião sobre quem eu sou., i don t have any opinion about who i am ,i don t have any opinion on who i am ,eu não tenho nenhuma opinião sobre quem eu sou 
 Thatottle must reach its next level.,The baby should arrive next week.,O bebê deve chegar na próxima semana., thatottle must reach its next level ,the baby should arrive next week ,o bebê deve chegar na próxima semana 
 from bats it is to be seen as decoy,A group of high-speed ice skaters.,Um grupo de patinadores de gelo de velocidade., from bats it is to be seen as decoy,a group of high speed ice skaters ,um grupo de patinadores de gelo de velocidade 
 The value of the companies increased dramatically after they found a new medicine.,The value of the company’s shares rose dramatically after they discovered a new drug.,O valor das ações da empresa aumentou dramaticamente depois que encontraram um novo medicamento., the value of the companies increased dramatically after they found a new medicine ,the value of the company s shares rose dramatically after they discovered a new drug ,o valor das ações da empresa aumentou dramaticamente depois que encontraram um novo medicamento 
 hey don't go there,"Hey, don’t go there!","Ei,? não vá lá!", hey don t go there,hey don t go there ,ei não vá lá 
 There are so many things I want to know that I can't lose a second.,There are so many thing I want to know that I can’t miss a second.,Há tantas coisas que eu quero saber que não posso perder um segundo., there are so many things i want to know that i can t lose a second ,there are so many thing i want to know that i can t miss a second ,há tantas coisas que eu quero saber que não posso perder um segundo 
" Sometimes, simply don't get how to hold the wheel.",There are times when you just can’t hold the river.,Às vezes? simplesmente não há como segurar o rio., sometimes simply don t get how to hold the wheel ,there are times when you just can t hold the river ,às vezes simplesmente não há como segurar o rio 
 9t30,A dog plays with a toy.,um cachorro brinca com um brinquedo., 9t30,a dog plays with a toy ,um cachorro brinca com um brinquedo 
 The faculty decided to finish their plan to increase their gestation space.,The faculty decided to reduce their plan to increase their parking spaces.,A faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento., the faculty decided to finish their plan to increase their gestation space ,the faculty decided to reduce their plan to increase their parking spaces ,a faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento 
 Something inside the cylinder was drawing the top.,Something inside the cylinder was unscrewing the top.,Algo dentro do cilindro estava desenroscando o topo., something inside the cylinder was drawing the top ,something inside the cylinder was unscrewing the top ,algo dentro do cilindro estava desenroscando o topo 
 The night was hot and I was hungry.,The night was hot and I was thirsty.,A noite estava quente e eu estava com sede., the night was hot and i was hungry ,the night was hot and i was thirsty ,a noite estava quente e eu estava com sede 
" a earthed orange painting at average, between the city",A girl jumps up in the air in the middle of a city park.,Uma garota pula no ar no meio de um parque da cidade., a earthed orange painting at average between the city,a girl jumps up in the air in the middle of a city park ,uma garota pula no ar no meio de um parque da cidade 
 yea photos lettering and preparation for a photos exposure,Photo crew preparing for a photo shoot.,Tripulação de fotografia se preparar para uma sessão de fotos., yea photos lettering and preparation for a photos exposure,photo crew preparing for a photo shoot ,tripulação de fotografia se preparar para uma sessão de fotos 
" In any way, I think we should be extremely counter-efficient.","In any case, I think we should be extremely careful.","De qualquer forma,?, acho que devemos ser extremamente cautelosos.", in any way i think we should be extremely counter efficient ,in any case i think we should be extremely careful ,de qualquer forma acho que devemos ser extremamente cautelosos 
 Who's alone? What else do you want?,"If you have sunshine, what more do you want?","Quem tem sol, o que mais você quer?", who s alone what else do you want ,if you have sunshine what more do you want ,quem tem sol o que mais você quer 
ぁ people waiting on the side of a superaphile radio columns,People waiting outside a building in the sunlight.,Pessoas esperando do lado de fora de um edifício à luz do sol.,ぁ people waiting on the side of a superaphile radio columns,people waiting outside a building in the sunlight ,pessoas esperando do lado de fora de um edifício à luz do sol 
 The car is small.,The car is small.,O carro é pequeno, the car is small ,the car is small ,o carro é pequeno
" So, is there a way to learn? Answer the alt-ministra.","“Is there only one way to learn?”, the alchemist replied.","""Só existe uma maneira de aprender?"", respondeu o alquimista.", so is there a way to learn answer the alt ministra , is there only one way to learn the alchemist replied , só existe uma maneira de aprender respondeu o alquimista 
 I was waiting for you here in this oasis for a long time.,I’ve been waiting for you here on this oasis for a long time.,Eu estive esperando por você aqui neste oásis por um longo tempo., i was waiting for you here in this oasis for a long time ,i ve been waiting for you here on this oasis for a long time ,eu estive esperando por você aqui neste oásis por um longo tempo 
 A good group of reporters.,A nice group or journalists.,Um bom grupo de repórteres., a good group of reporters ,a nice group or journalists ,um bom grupo de repórteres 
 The institution that is completely in the hands of the individual is the force.,The institution that remains completely unchanged in staff is the fossil.,A instituição que é completamente inalterada em pessoal é o fóssil, the institution that is completely in the hands of the individual is the force ,the institution that remains completely unchanged in staff is the fossil ,a instituição que é completamente inalterada em pessoal é o fóssil
 I call the police now.,Call the police now!,Chame a polícia agora!, i call the police now ,call the police now ,chame a polícia agora 
 A whole lot of people are pedalling a movie to record,Two people painting a brick wall.,Duas pessoas pintando uma parede de tijolos., a whole lot of people are pedalling a movie to record,two people painting a brick wall ,duas pessoas pintando uma parede de tijolos 
 for the loved ones of us,We gather again.,Nos reunimos de novo, for the loved ones of us,we gather again ,nos reunimos de novo
" Many houses are dismantled, they are hatched.",The sheep were taken home by a dog.,As ovelhas foram levadas para casa por um cachorro., many houses are dismantled they are hatched ,the sheep were taken home by a dog ,as ovelhas foram levadas para casa por um cachorro 
 2 men make sure your hands are swollen,Two boys hold a man’s hands.,Dois meninos seguram as mãos de um homem., 2 men make sure your hands are swollen,two boys hold a man s hands ,dois meninos seguram as mãos de um homem 
" It's guaranteed that, to appear dignified, you have to be serious.","It’s guaranteed that, to look worthy, you need to remain serious.","É garantido que, para parecer digno, você tem que ficar sério.", it s guaranteed that to appear dignified you have to be serious ,it s guaranteed that to look worthy you need to remain serious ,é garantido que para parecer digno você tem que ficar sério 
 inevitable,Inevitable,Inevitável, inevitable,inevitable,inevitável
 Attach the circle to the estar in the,Affect blood flow.,Afetar a circulação sanguínea, attach the circle to the estar in the,affect blood flow ,afetar a circulação sanguínea
 This is the only building that was not affected by the fire.,This was the only building that was not struck by the fire.,Este é o único edifício que não foi afetado pelo fogo., this is the only building that was not affected by the fire ,this was the only building that was not struck by the fire ,este é o único edifício que não foi afetado pelo fogo 
 I want to hear a local Lieutenant comibility!,I want to hear the album Picchio Dal Pozzo de Con Hunley,Eu quero ouvir o álbum Picchio Dal Pozzo de Con Hunley, i want to hear a local lieutenant comibility ,i want to hear the album picchio dal pozzo de con hunley,eu quero ouvir o álbum picchio dal pozzo de con hunley
 I am happy.,I am happy,Estou feliz, i am happy ,i am happy,estou feliz
 I always think that it can be better in the front.,I always believe that there could be something better up ahead.,Eu sempre penso que pode haver melhor na frente., i always think that it can be better in the front ,i always believe that there could be something better up ahead ,eu sempre penso que pode haver melhor na frente 
 Patience of theíempage was,A boy in white shorts stays in a rusty tower.,Um menino de short branco fica em uma torre enferrujada., patience of theíempage was,a boy in white shorts stays in a rusty tower ,um menino de short branco fica em uma torre enferrujada 
 This one was a very huge however,That was a little girl named Mary Hatch.,Essa era uma garotinha chamada Mary Hatch., this one was a very huge however,that was a little girl named mary hatch ,essa era uma garotinha chamada mary hatch 
 They will come to us.,They will come to us.,Eles virão até nós, they will come to us ,they will come to us ,eles virão até nós
" When the enemies arrive, get the enemies.","When the bus arrives, take it.","Quando o ônibus chegar, pegue o ônibus.", when the enemies arrive get the enemies ,when the bus arrives take it ,quando o ônibus chegar pegue o ônibus 
 Man making a basketball shot with spectators watching.,Man taking a basketball throw with spectators watching.,Cara fazendo um tiro de basquete com espectadores assistindo., man making a basketball shot with spectators watching ,man taking a basketball throw with spectators watching ,cara fazendo um tiro de basquete com espectadores assistindo 
" When the top of the dunes arrived, the heart flew.","When he got to the top of the dune, his heart skipped.",Quando chegou ao topo da duna? seu coração pulou., when the top of the dunes arrived the heart flew ,when he got to the top of the dune his heart skipped ,quando chegou ao topo da duna seu coração pulou 
 It grows rapidly with high revolutions a lot of time,Grows with anger slowly? For quite some time.,Cresça com raiva lentamente? há bastante tempo., it grows rapidly with high revolutions a lot of time,grows with anger slowly for quite some time ,cresça com raiva lentamente há bastante tempo 
 The lemon juice makes a good juice.,Lemon juice makes a good punch.,O suco de limões faz um bom soco., the lemon juice makes a good juice ,lemon juice makes a good punch ,o suco de limões faz um bom soco 
 The distance from other farms dedicated to the same activity of 500 meters.,"The distance to other farms dedicated to the same activity, is five hundred meters.",A distância de outras fazendas dedicadas à mesma atividade é de quinhentos metros., the distance from other farms dedicated to the same activity of 500 meters ,the distance to other farms dedicated to the same activity is five hundred meters ,a distância de outras fazendas dedicadas à mesma atividade é de quinhentos metros 
 The car was not damaged at all.,"The car, on the other hand, was not damaged.",O carro no entanto não foi danificado., the car was not damaged at all ,the car on the other hand was not damaged ,o carro no entanto não foi danificado 
 A group of people is set back from a large fire.,A group of people standing by a big bonfire.,Um grupo de pessoas está parado em volta de uma grande fogueira., a group of people is set back from a large fire ,a group of people standing by a big bonfire ,um grupo de pessoas está parado em volta de uma grande fogueira 
" Today's task is to write a synopsis of the Roman, recently published by Tata.",Today’s task is to write a summary of Tata’s recently published novel.,A tarefa de hoje é escrever uma sinopse do romance recentemente publicado da Tata., today s task is to write a synopsis of the roman recently published by tata ,today s task is to write a summary of tata s recently published novel ,a tarefa de hoje é escrever uma sinopse do romance recentemente publicado da tata 
 A woman preparing a meal at home.,A woman preparing a meal at home.,Uma mulher preparando uma refeição em casa., a woman preparing a meal at home ,a woman preparing a meal at home ,uma mulher preparando uma refeição em casa 
 Two women walking and talking.,Two women walking and talking.,Duas mulheres andando e falando., two women walking and talking ,two women walking and talking ,duas mulheres andando e falando 
 A competition of shooting with Arco with two men jogging.,An archery competition with two men shooting.,uma competição de tiro com arco com dois homens jogando, a competition of shooting with arco with two men jogging ,an archery competition with two men shooting ,uma competição de tiro com arco com dois homens jogando
 They spent the whole weekend playing video games.,They spent the entire weekend playing video games.,Eles passaram o fim de semana inteiro jogando video games., they spent the whole weekend playing video games ,they spent the entire weekend playing video games ,eles passaram o fim de semana inteiro jogando video games 
 I am going to talk to medieval people.,Can you get the Club Nation game for me?,Você pode me pegar o jogo do Club Nation?, i am going to talk to medieval people ,can you get the club nation game for me ,você pode me pegar o jogo do club nation 
 I'm going to kill your eyes.,I will kill you both!,Eu vou matar os dois!, i m going to kill your eyes ,i will kill you both ,eu vou matar os dois 
 now power αυτips prompt,"To calibrate the motion capture system, please do a T-pose.","Para calibrar o sistema de captura de movimento, por favor, faça um T-pose.", now power αυτips prompt,to calibrate the motion capture system please do a t pose ,para calibrar o sistema de captura de movimento por favor faça um t pose 
 Cadeuzao was turkey,Her hair was black.,O cabelo dela era preto., cadeuzao was turkey,her hair was black ,o cabelo dela era preto 
 I did not understand why he was so scared to talk to us,But the boy was too scared to hear the words of wisdom.,Mas o menino estava com muito medo de ouvir palavras de sabedoria., i did not understand why he was so scared to talk to us,but the boy was too scared to hear the words of wisdom ,mas o menino estava com muito medo de ouvir palavras de sabedoria 
 How can you achieve this?,How did you get that?,Como você conseguiu isso?, how can you achieve this ,how did you get that ,como você conseguiu isso 
" Day in May, day in Margos, with the short and long days.","Days in May, sour days: short bread and long days.","Dias em maio, dias amargos: pães curtos e dias longos.", day in may day in margos with the short and long days ,days in may sour days short bread and long days ,dias em maio dias amargos pães curtos e dias longos 
" Dude, it does not go anywhere.",Old shall not pass.,Velho não passará., dude it does not go anywhere ,old shall not pass ,velho não passará 
 let's go,Good afternoon,Boa tarde, let s go,good afternoon,boa tarde
 This music reminds me of my childhood.,That song reminds me of my childhood.,Essa música me faz lembrar da minha infância., this music reminds me of my childhood ,that song reminds me of my childhood ,essa música me faz lembrar da minha infância 
 You can not enter there until you put that.,You can’t go in there until you put this on.,Você não pode entrar lá até que você coloque isso., you can not enter there until you put that ,you can t go in there until you put this on ,você não pode entrar lá até que você coloque isso 
 He gave me his word John.,He gave me his word of honor.,Ele me deu sua palavra de honra., he gave me his word john ,he gave me his word of honor ,ele me deu sua palavra de honra 
 A single hair is a shadow.,A single hair casts a shadow.,Um único cabelo lança uma sombra., a single hair is a shadow ,a single hair casts a shadow ,um único cabelo lança uma sombra 
滿ilen notifications also Tedrow,Some apps include specific improvements.,Certos aplicativos também incorporam melhorias específicas.,滿ilen notifications also tedrow,some apps include specific improvements ,certos aplicativos também incorporam melhorias específicas 
" After a while, a band is playing.",Two men playing in a band.,Dois homens tocando em uma banda., after a while a band is playing ,two men playing in a band ,dois homens tocando em uma banda 
 This little man Prince Himபけん.,This is a boy in a beach holding a stick.,Este é um menino em uma praia segurando um pedaço de pau., this little man prince himபけん ,this is a boy in a beach holding a stick ,este é um menino em uma praia segurando um pedaço de pau 
 This woman plays the water from an autumn party at home,A boy jumps in the water of a shallow pool.,Um menino joga na água de uma piscina rasa., this woman plays the water from an autumn party at home,a boy jumps in the water of a shallow pool ,um menino joga na água de uma piscina rasa 
 It's nothing for me.,Nothing there for me.,Não é nada para mim., it s nothing for me ,nothing there for me ,não é nada para mim 
 A new man discovers his teeth in front of the mirror.,"A young blond boy, who brushes his teeth in front of the mirror.",Um menino louro novo que escova seus dentes na frente de um espelho., a new man discovers his teeth in front of the mirror ,a young blond boy who brushes his teeth in front of the mirror ,um menino louro novo que escova seus dentes na frente de um espelho 
 How many fatias do you like from Santiago?,"Santiago, how many slices would you like to have?",Quantas fatias você gostaria de Santiago?, how many fatias do you like from santiago ,santiago how many slices would you like to have ,quantas fatias você gostaria de santiago 
 A man tries to enter in a small car with a blue compact car.,A man is about to get into a small blue compact car.,Um homem prestes a entrar em um pequeno carro compacto azul., a man tries to enter in a small car with a blue compact car ,a man is about to get into a small blue compact car ,um homem prestes a entrar em um pequeno carro compacto azul 
" A man is already ready, looking above the caravan of a boat.","A man in a black jacket, staring over the handrail of a ship.","Um homem de jaqueta preta, olhando por cima do corrimão de um barco.", a man is already ready looking above the caravan of a boat ,a man in a black jacket staring over the handrail of a ship ,um homem de jaqueta preta olhando por cima do corrimão de um barco 
 occupies two tires of each side,Attach two pins on each side.,Prenda dois pinos de cada lado., occupies two tires of each side,attach two pins on each side ,prenda dois pinos de cada lado 
 A man is in the palm of the palm while the children watch.,A man stands on wooden legs as the children watch.,"Um homem fica em pernas de pau, enquanto as crianças assistem.", a man is in the palm of the palm while the children watch ,a man stands on wooden legs as the children watch ,um homem fica em pernas de pau enquanto as crianças assistem 
" A man vomiting,tering that she Vedic nation, after a concert-",A man sweeping the mess on the floor after a concert.,Um homem varrendo a bagunça no chão depois de um concerto., a man vomiting tering that she vedic nation after a concert ,a man sweeping the mess on the floor after a concert ,um homem varrendo a bagunça no chão depois de um concerto 
 She thinks the world has a bottom-up weight.,She thinks that the world has feet of clay.,Ela acha que o mundo tem pés de barro., she thinks the world has a bottom up weight ,she thinks that the world has feet of clay ,ela acha que o mundo tem pés de barro 
" A man, walking on the water, surrounded by stones and stones.",A man dives in the water surrounded by stones and pines.,Um homem mergulha na água cercada por pedras e pinheiros., a man walking on the water surrounded by stones and stones ,a man dives in the water surrounded by stones and pines ,um homem mergulha na água cercada por pedras e pinheiros 
 Jesus don't believe in the Son of Jesus and found the contaminants he had throughout the<|pt|> three flowers walk around PILA R quella para ira. him,Three dogs run on the beach.,Três cachorros correm pela praia., jesus don t believe in the son of jesus and found the contaminants he had throughout the three flowers walk around pila r quella para ira him,three dogs run on the beach ,três cachorros correm pela praia 
 brown rice,Two white puppies running.,Dois cachorrinhos brancos correndo., brown rice,two white puppies running ,dois cachorrinhos brancos correndo 
 A woman is standing in front of a condiment table.,A woman is standing in front of a table of condiments.,Uma mulher está em pé na frente de uma mesa de condimentos., a woman is standing in front of a condiment table ,a woman is standing in front of a table of condiments ,uma mulher está em pé na frente de uma mesa de condimentos 
 .,What are the facts?,Quais são os fatos?, ,what are the facts ,quais são os fatos 
 I want to do something good for the world.,"Other times, I want to do something good for the world.",Outras vezes eu quero fazer algo bom para o mundo., i want to do something good for the world ,other times i want to do something good for the world ,outras vezes eu quero fazer algo bom para o mundo 
 The insight into the part of the Global 되�ẻ��블 Web Web En VID疫 Accepted,There’s a group of unruly teenagers playing in my backyard.,Há um grupo de adolescentes indisciplinados brincando em seu jardim., the insight into the part of the global 되 ẻ 블 web web en vid疫 accepted,there s a group of unruly teenagers playing in my backyard ,há um grupo de adolescentes indisciplinados brincando em seu jardim 
 People from here are black and white running in the rain.,A person with a black jacket and shorts running in the rain.,Pessoa de jaqueta preta e shorts correndo na chuva., people from here are black and white running in the rain ,a person with a black jacket and shorts running in the rain ,pessoa de jaqueta preta e shorts correndo na chuva 
 A person who works in medical instruments.,A person checks medical instruments.,Uma pessoa verifica instrumentos médicos., a person who works in medical instruments ,a person checks medical instruments ,uma pessoa verifica instrumentos médicos 
" The attack is our worker Raぁi, who reloaded ourpaperner senders.",The attack on our root server overstrained our senior administrator.,O ataque ao nosso servidor raiz sobrecarregou nosso administrador sênior., the attack is our worker raぁi who reloaded ourpaperner senders ,the attack on our root server overstrained our senior administrator ,o ataque ao nosso servidor raiz sobrecarregou nosso administrador sênior 
 I am enjoying the sound of this economy based on the wind of the wind.,I’m liking the sound of that economy based on ostrich eggs.,Eu estou gostando do som dessa economia baseada em ovo de avestruz., i am enjoying the sound of this economy based on the wind of the wind ,i m liking the sound of that economy based on ostrich eggs ,eu estou gostando do som dessa economia baseada em ovo de avestruz 
 How do you know?,How do you know?,Como você sabe?, how do you know ,how do you know ,como você sabe 
 People are walking through a cell phone that some people are sitting.,The people are walking by a sparkling merry-go-round on which some people are seated.,As pessoas estão andando por um carrossel brilhante que algumas pessoas estão sentadas., people are walking through a cell phone that some people are sitting ,the people are walking by a sparkling merry go round on which some people are seated ,as pessoas estão andando por um carrossel brilhante que algumas pessoas estão sentadas 
 A group of people is in the forest of a large bar.,A group of people is on the deck of a big ship.,Um grupo de pessoas está no convés de um barco grande., a group of people is in the forest of a large bar ,a group of people is on the deck of a big ship ,um grupo de pessoas está no convés de um barco grande 
 He was pissing in eggs.,He was walking on eggshells.,Ele estava pisando em ovos, he was pissing in eggs ,he was walking on eggshells ,ele estava pisando em ovos
