,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
577, Eu não tenho nenhum opinião sobre quem eu sou.,Eu não tenho nenhuma opinião sobre quem eu sou.,I don’t have any opinion on who I am., eu não tenho nenhum opinião sobre quem eu sou ,eu não tenho nenhuma opinião sobre quem eu sou ,i don t have any opinion on who i am 
578, O bebê deve chegar na próxima semana.,O bebê deve chegar na próxima semana.,The baby should arrive next week., o bebê deve chegar na próxima semana ,o bebê deve chegar na próxima semana ,the baby should arrive next week 
579, Um grupo de patinadores de gênero de velocidade.,Um grupo de patinadores de gelo de velocidade.,A group of high-speed ice skaters., um grupo de patinadores de gênero de velocidade ,um grupo de patinadores de gelo de velocidade ,a group of high speed ice skaters 
580, O valor das ações da empresa aumentou dramáticamente depois que encontraram o novo medicamento.,O valor das ações da empresa aumentou dramaticamente depois que encontraram um novo medicamento.,The value of the company’s shares rose dramatically after they discovered a new drug., o valor das ações da empresa aumentou dramáticamente depois que encontraram o novo medicamento ,o valor das ações da empresa aumentou dramaticamente depois que encontraram um novo medicamento ,the value of the company s shares rose dramatically after they discovered a new drug 
581," Ei, não vá lá!","Ei,? não vá lá!","Hey, don’t go there!", ei não vá lá ,ei não vá lá ,hey don t go there 
582, Há tantas coisas que eu quero saber que não posso perder um segundo.,Há tantas coisas que eu quero saber que não posso perder um segundo.,There are so many thing I want to know that I can’t miss a second., há tantas coisas que eu quero saber que não posso perder um segundo ,há tantas coisas que eu quero saber que não posso perder um segundo ,there are so many thing i want to know that i can t miss a second 
583," As vezes, simplesmente não há como segurar o rio.",Às vezes? simplesmente não há como segurar o rio.,There are times when you just can’t hold the river., as vezes simplesmente não há como segurar o rio ,às vezes simplesmente não há como segurar o rio ,there are times when you just can t hold the river 
584, Um cachorro brinca com um brinquedo.,um cachorro brinca com um brinquedo.,A dog plays with a toy., um cachorro brinca com um brinquedo ,um cachorro brinca com um brinquedo ,a dog plays with a toy 
585, A faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento.,A faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento.,The faculty decided to reduce their plan to increase their parking spaces., a faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento ,a faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento ,the faculty decided to reduce their plan to increase their parking spaces 
586, Algo dentro do cilindro estava desenroscando o topo.,Algo dentro do cilindro estava desenroscando o topo.,Something inside the cylinder was unscrewing the top., algo dentro do cilindro estava desenroscando o topo ,algo dentro do cilindro estava desenroscando o topo ,something inside the cylinder was unscrewing the top 
587, A noite estava quente e eu estava conceding.,A noite estava quente e eu estava com sede.,The night was hot and I was thirsty., a noite estava quente e eu estava conceding ,a noite estava quente e eu estava com sede ,the night was hot and i was thirsty 
588, Uma garota pula no ar no meio de um parque da cidade.,Uma garota pula no ar no meio de um parque da cidade.,A girl jumps up in the air in the middle of a city park., uma garota pula no ar no meio de um parque da cidade ,uma garota pula no ar no meio de um parque da cidade ,a girl jumps up in the air in the middle of a city park 
589, Tribulação de fotografia sem prepara para uma sessão de fotos,Tripulação de fotografia se preparar para uma sessão de fotos.,Photo crew preparing for a photo shoot., tribulação de fotografia sem prepara para uma sessão de fotos,tripulação de fotografia se preparar para uma sessão de fotos ,photo crew preparing for a photo shoot 
590," De qual que é forma, acho que devemos ser extremamente cautelosos.","De qualquer forma,?, acho que devemos ser extremamente cautelosos.","In any case, I think we should be extremely careful.", de qual que é forma acho que devemos ser extremamente cautelosos ,de qualquer forma acho que devemos ser extremamente cautelosos ,in any case i think we should be extremely careful 
591, Quem tem sol? O que mais você quer?,"Quem tem sol, o que mais você quer?","If you have sunshine, what more do you want?", quem tem sol o que mais você quer ,quem tem sol o que mais você quer ,if you have sunshine what more do you want 
592, Pessoas esperando do lado de fora de onde fice um alô do sol.,Pessoas esperando do lado de fora de um edifício à luz do sol.,People waiting outside a building in the sunlight., pessoas esperando do lado de fora de onde fice um alô do sol ,pessoas esperando do lado de fora de um edifício à luz do sol ,people waiting outside a building in the sunlight 
593, O carro é pequeno.,O carro é pequeno,The car is small., o carro é pequeno ,o carro é pequeno,the car is small 
594," Só existe uma maneira de aprender, responder o alquimista.","""Só existe uma maneira de aprender?"", respondeu o alquimista.","“Is there only one way to learn?”, the alchemist replied.", só existe uma maneira de aprender responder o alquimista , só existe uma maneira de aprender respondeu o alquimista , is there only one way to learn the alchemist replied 
595, Estive esperando por você aqui neste oasis por um longo tempo.,Eu estive esperando por você aqui neste oásis por um longo tempo.,I’ve been waiting for you here on this oasis for a long time., estive esperando por você aqui neste oasis por um longo tempo ,eu estive esperando por você aqui neste oásis por um longo tempo ,i ve been waiting for you here on this oasis for a long time 
596, Um bom grupo de repartas.,Um bom grupo de repórteres.,A nice group or journalists., um bom grupo de repartas ,um bom grupo de repórteres ,a nice group or journalists 
597, A instituição que é completamente inodervada em pessoal é o forço.,A instituição que é completamente inalterada em pessoal é o fóssil,The institution that remains completely unchanged in staff is the fossil., a instituição que é completamente inodervada em pessoal é o forço ,a instituição que é completamente inalterada em pessoal é o fóssil,the institution that remains completely unchanged in staff is the fossil 
598, Chame a polícia agora.,Chame a polícia agora!,Call the police now!, chame a polícia agora ,chame a polícia agora ,call the police now 
599, Temos pessoas que entram de uma parede de tijolas.,Duas pessoas pintando uma parede de tijolos.,Two people painting a brick wall., temos pessoas que entram de uma parede de tijolas ,duas pessoas pintando uma parede de tijolos ,two people painting a brick wall 
600, Nos reunimos de novo.,Nos reunimos de novo,We gather again., nos reunimos de novo ,nos reunimos de novo,we gather again 
601, As ovílias foram levadas para casa por um cachorro.,As ovelhas foram levadas para casa por um cachorro.,The sheep were taken home by a dog., as ovílias foram levadas para casa por um cachorro ,as ovelhas foram levadas para casa por um cachorro ,the sheep were taken home by a dog 
602, 2 meninos segurando as mãos de um homem,Dois meninos seguram as mãos de um homem.,Two boys hold a man’s hands., 2 meninos segurando as mãos de um homem,dois meninos seguram as mãos de um homem ,two boys hold a man s hands 
603," É garantido que, para parecer digno, você tem que ficar sério.","É garantido que, para parecer digno, você tem que ficar sério.","It’s guaranteed that, to look worthy, you need to remain serious.", é garantido que para parecer digno você tem que ficar sério ,é garantido que para parecer digno você tem que ficar sério ,it s guaranteed that to look worthy you need to remain serious 
604, Inevitável.,Inevitável,Inevitable, inevitável ,inevitável,inevitable
605, Afeitar a circulação sanguínea.,Afetar a circulação sanguínea,Affect blood flow., afeitar a circulação sanguínea ,afetar a circulação sanguínea,affect blood flow 
606, Este é o único edifício que não foi afetado pelo fogo.,Este é o único edifício que não foi afetado pelo fogo.,This was the only building that was not struck by the fire., este é o único edifício que não foi afetado pelo fogo ,este é o único edifício que não foi afetado pelo fogo ,this was the only building that was not struck by the fire 
607, Eu quero ouvir algo meio do talpoto.,Eu quero ouvir o álbum Picchio Dal Pozzo de Con Hunley,I want to hear the album Picchio Dal Pozzo de Con Hunley, eu quero ouvir algo meio do talpoto ,eu quero ouvir o álbum picchio dal pozzo de con hunley,i want to hear the album picchio dal pozzo de con hunley
608, Estou feliz!,Estou feliz,I am happy, estou feliz ,estou feliz,i am happy
609, Eu sempre penso que pode abrir melhor na frente.,Eu sempre penso que pode haver melhor na frente.,I always believe that there could be something better up ahead., eu sempre penso que pode abrir melhor na frente ,eu sempre penso que pode haver melhor na frente ,i always believe that there could be something better up ahead 
610, O menino de choque branco fica imato e infegojada.,Um menino de short branco fica em uma torre enferrujada.,A boy in white shorts stays in a rusty tower., o menino de choque branco fica imato e infegojada ,um menino de short branco fica em uma torre enferrujada ,a boy in white shorts stays in a rusty tower 
611, Essa era uma verotinha chamada Meru Hete.,Essa era uma garotinha chamada Mary Hatch.,That was a little girl named Mary Hatch., essa era uma verotinha chamada meru hete ,essa era uma garotinha chamada mary hatch ,that was a little girl named mary hatch 
612, Eles virão até nós.,Eles virão até nós,They will come to us., eles virão até nós ,eles virão até nós,they will come to us 
613," Quando o ônibus chegar, pegue o ônibus.","Quando o ônibus chegar, pegue o ônibus.","When the bus arrives, take it.", quando o ônibus chegar pegue o ônibus ,quando o ônibus chegar pegue o ônibus ,when the bus arrives take it 
614, Cara fazendo um tiro de basket com expectadores assistindo.,Cara fazendo um tiro de basquete com espectadores assistindo.,Man taking a basketball throw with spectators watching., cara fazendo um tiro de basket com expectadores assistindo ,cara fazendo um tiro de basquete com espectadores assistindo ,man taking a basketball throw with spectators watching 
615," Quando chegou ao topo da dona, seu coração pulou.",Quando chegou ao topo da duna? seu coração pulou.,"When he got to the top of the dune, his heart skipped.", quando chegou ao topo da dona seu coração pulou ,quando chegou ao topo da duna seu coração pulou ,when he got to the top of the dune his heart skipped 
616, Cresça com raiva lentamente há bastante tempo.,Cresça com raiva lentamente? há bastante tempo.,Grows with anger slowly? For quite some time., cresça com raiva lentamente há bastante tempo ,cresça com raiva lentamente há bastante tempo ,grows with anger slowly for quite some time 
617, O suco de limões faz um bom soco.,O suco de limões faz um bom soco.,Lemon juice makes a good punch., o suco de limões faz um bom soco ,o suco de limões faz um bom soco ,lemon juice makes a good punch 
618, A distância de outras fazendas dedicadas a a mesma atividade de 500 metros.,A distância de outras fazendas dedicadas à mesma atividade é de quinhentos metros.,"The distance to other farms dedicated to the same activity, is five hundred meters.", a distância de outras fazendas dedicadas a a mesma atividade de 500 metros ,a distância de outras fazendas dedicadas à mesma atividade é de quinhentos metros ,the distance to other farms dedicated to the same activity is five hundred meters 
619," O carro, no entanto, não foi danificado.",O carro no entanto não foi danificado.,"The car, on the other hand, was not damaged.", o carro no entanto não foi danificado ,o carro no entanto não foi danificado ,the car on the other hand was not damaged 
620, Um grupo de pessoas está parado em volta de uma grande fogueira.,Um grupo de pessoas está parado em volta de uma grande fogueira.,A group of people standing by a big bonfire., um grupo de pessoas está parado em volta de uma grande fogueira ,um grupo de pessoas está parado em volta de uma grande fogueira ,a group of people standing by a big bonfire 
621, A tarefa de hoje é escrever uma synopsia do romance recentemente publicada da Tata.,A tarefa de hoje é escrever uma sinopse do romance recentemente publicado da Tata.,Today’s task is to write a summary of Tata’s recently published novel., a tarefa de hoje é escrever uma synopsia do romance recentemente publicada da tata ,a tarefa de hoje é escrever uma sinopse do romance recentemente publicado da tata ,today s task is to write a summary of tata s recently published novel 
622, Uma mulher preparando uma refeição em casa.,Uma mulher preparando uma refeição em casa.,A woman preparing a meal at home., uma mulher preparando uma refeição em casa ,uma mulher preparando uma refeição em casa ,a woman preparing a meal at home 
623, duas mulheres andando e falando.,Duas mulheres andando e falando.,Two women walking and talking., duas mulheres andando e falando ,duas mulheres andando e falando ,two women walking and talking 
624, Uma competição de tiro com arco com dois homens jogando.,uma competição de tiro com arco com dois homens jogando,An archery competition with two men shooting., uma competição de tiro com arco com dois homens jogando ,uma competição de tiro com arco com dois homens jogando,an archery competition with two men shooting 
625, Eles passaram o fim de semana inteiro jogando videogames.,Eles passaram o fim de semana inteiro jogando video games.,They spent the entire weekend playing video games., eles passaram o fim de semana inteiro jogando videogames ,eles passaram o fim de semana inteiro jogando video games ,they spent the entire weekend playing video games 
626, Ali também aqui será paraizar um procuramento Spinning.,Você pode me pegar o jogo do Club Nation?,Can you get the Club Nation game for me?, ali também aqui será paraizar um procuramento spinning ,você pode me pegar o jogo do club nation ,can you get the club nation game for me 
627, Eu vou matar os 2.,Eu vou matar os dois!,I will kill you both!, eu vou matar os 2 ,eu vou matar os dois ,i will kill you both 
628, A itens deetryls também assim como os fitorais,"Para calibrar o sistema de captura de movimento, por favor, faça um T-pose.","To calibrate the motion capture system, please do a T-pose.", a itens deetryls também assim como os fitorais,para calibrar o sistema de captura de movimento por favor faça um t pose ,to calibrate the motion capture system please do a t pose 
629, O cadeau dela era preto.,O cabelo dela era preto.,Her hair was black., o cadeau dela era preto ,o cabelo dela era preto ,her hair was black 
630," Mais uma em mim, eu estava com muito medo de eu falar da gente está bedorigido.",Mas o menino estava com muito medo de ouvir palavras de sabedoria.,But the boy was too scared to hear the words of wisdom., mais uma em mim eu estava com muito medo de eu falar da gente está bedorigido ,mas o menino estava com muito medo de ouvir palavras de sabedoria ,but the boy was too scared to hear the words of wisdom 
631, Como você conseguir o enche?,Como você conseguiu isso?,How did you get that?, como você conseguir o enche ,como você conseguiu isso ,how did you get that 
632," Dias em maios, dias amargos, pão escutos e dias longos.","Dias em maio, dias amargos: pães curtos e dias longos.","Days in May, sour days: short bread and long days.", dias em maios dias amargos pão escutos e dias longos ,dias em maio dias amargos pães curtos e dias longos ,days in may sour days short bread and long days 
633," Velho, não passará.",Velho não passará.,Old shall not pass., velho não passará ,velho não passará ,old shall not pass 
634, Boa tarde.,Boa tarde,Good afternoon, boa tarde ,boa tarde,good afternoon
635, Essa música me faz lembrar da minha infância.,Essa música me faz lembrar da minha infância.,That song reminds me of my childhood., essa música me faz lembrar da minha infância ,essa música me faz lembrar da minha infância ,that song reminds me of my childhood 
636, Você não pode entrar lá até que você coloque isso.,Você não pode entrar lá até que você coloque isso.,You can’t go in there until you put this on., você não pode entrar lá até que você coloque isso ,você não pode entrar lá até que você coloque isso ,you can t go in there until you put this on 
637," Ele me deu sua palavra de onde? Então, ok.",Ele me deu sua palavra de honra.,He gave me his word of honor., ele me deu sua palavra de onde então ok ,ele me deu sua palavra de honra ,he gave me his word of honor 
638, Um único cabelo lança uma sombra.,Um único cabelo lança uma sombra.,A single hair casts a shadow., um único cabelo lança uma sombra ,um único cabelo lança uma sombra ,a single hair casts a shadow 
639, Exato os aplicativos também comporam melhorias específicas.,Certos aplicativos também incorporam melhorias específicas.,Some apps include specific improvements., exato os aplicativos também comporam melhorias específicas ,certos aplicativos também incorporam melhorias específicas ,some apps include specific improvements 
640, Dois ao menos tocando em uma banda.,Dois homens tocando em uma banda.,Two men playing in a band., dois ao menos tocando em uma banda ,dois homens tocando em uma banda ,two men playing in a band 
641, Este homem tem uma praia segurando o pedaço de forma.,Este é um menino em uma praia segurando um pedaço de pau.,This is a boy in a beach holding a stick., este homem tem uma praia segurando o pedaço de forma ,este é um menino em uma praia segurando um pedaço de pau ,this is a boy in a beach holding a stick 
642, Um menino joga na água de na recina caça.,Um menino joga na água de uma piscina rasa.,A boy jumps in the water of a shallow pool., um menino joga na água de na recina caça ,um menino joga na água de uma piscina rasa ,a boy jumps in the water of a shallow pool 
643, Não é nada para mim.,Não é nada para mim.,Nothing there for me., não é nada para mim ,não é nada para mim ,nothing there for me 
644," Um menino louro novo, descova seus dentes na frente de um espelho.",Um menino louro novo que escova seus dentes na frente de um espelho.,"A young blond boy, who brushes his teeth in front of the mirror.", um menino louro novo descova seus dentes na frente de um espelho ,um menino louro novo que escova seus dentes na frente de um espelho ,a young blond boy who brushes his teeth in front of the mirror 
645, Quanto as fatias você gostaria de Santiago?,Quantas fatias você gostaria de Santiago?,"Santiago, how many slices would you like to have?", quanto as fatias você gostaria de santiago ,quantas fatias você gostaria de santiago ,santiago how many slices would you like to have 
646, Um homem preste a entrar em um pequeno carro com pacto azul.,Um homem prestes a entrar em um pequeno carro compacto azul.,A man is about to get into a small blue compact car., um homem preste a entrar em um pequeno carro com pacto azul ,um homem prestes a entrar em um pequeno carro compacto azul ,a man is about to get into a small blue compact car 
647," Um homem já que está preta, olhando por cima do corrimão de um barco.","Um homem de jaqueta preta, olhando por cima do corrimão de um barco.","A man in a black jacket, staring over the handrail of a ship.", um homem já que está preta olhando por cima do corrimão de um barco ,um homem de jaqueta preta olhando por cima do corrimão de um barco ,a man in a black jacket staring over the handrail of a ship 
648, Prenda dois pinos de cada lado.,Prenda dois pinos de cada lado.,Attach two pins on each side., prenda dois pinos de cada lado ,prenda dois pinos de cada lado ,attach two pins on each side 
649, Um homem fica em pernas de pau enquanto as crianças assistem.,"Um homem fica em pernas de pau, enquanto as crianças assistem.",A man stands on wooden legs as the children watch., um homem fica em pernas de pau enquanto as crianças assistem ,um homem fica em pernas de pau enquanto as crianças assistem ,a man stands on wooden legs as the children watch 
650," Um homem varrendo a lagunça no chão, depois de um concerto.",Um homem varrendo a bagunça no chão depois de um concerto.,A man sweeping the mess on the floor after a concert., um homem varrendo a lagunça no chão depois de um concerto ,um homem varrendo a bagunça no chão depois de um concerto ,a man sweeping the mess on the floor after a concert 
651, Ela acha que o mundo tem pez de barro.,Ela acha que o mundo tem pés de barro.,She thinks that the world has feet of clay., ela acha que o mundo tem pez de barro ,ela acha que o mundo tem pés de barro ,she thinks that the world has feet of clay 
652," Um homem mergulha na água, cercada por pedras e peneiros.",Um homem mergulha na água cercada por pedras e pinheiros.,A man dives in the water surrounded by stones and pines., um homem mergulha na água cercada por pedras e peneiros ,um homem mergulha na água cercada por pedras e pinheiros ,a man dives in the water surrounded by stones and pines 
653, 3 cachorros correm pela praia.,Três cachorros correm pela praia.,Three dogs run on the beach., 3 cachorros correm pela praia ,três cachorros correm pela praia ,three dogs run on the beach 
654, 2 cachorrinhos brancos correntos,Dois cachorrinhos brancos correndo.,Two white puppies running., 2 cachorrinhos brancos correntos,dois cachorrinhos brancos correndo ,two white puppies running 
655, Uma mulher está em pé na frente de uma mesa de condimentos.,Uma mulher está em pé na frente de uma mesa de condimentos.,A woman is standing in front of a table of condiments., uma mulher está em pé na frente de uma mesa de condimentos ,uma mulher está em pé na frente de uma mesa de condimentos ,a woman is standing in front of a table of condiments 
656, Oper aim.,Quais são os fatos?,What are the facts?, oper aim ,quais são os fatos ,what are the facts 
657, outras vezes eu quero fazer algo bom para o mundo,Outras vezes eu quero fazer algo bom para o mundo.,"Other times, I want to do something good for the world.", outras vezes eu quero fazer algo bom para o mundo,outras vezes eu quero fazer algo bom para o mundo ,other times i want to do something good for the world 
658, Há um grupo de adolescentes indisciplinados brincando em seu jardim.,Há um grupo de adolescentes indisciplinados brincando em seu jardim.,There’s a group of unruly teenagers playing in my backyard., há um grupo de adolescentes indisciplinados brincando em seu jardim ,há um grupo de adolescentes indisciplinados brincando em seu jardim ,there s a group of unruly teenagers playing in my backyard 
659, O pessoal já quer que está preto e chó descorrendo na chuva.,Pessoa de jaqueta preta e shorts correndo na chuva.,A person with a black jacket and shorts running in the rain., o pessoal já quer que está preto e chó descorrendo na chuva ,pessoa de jaqueta preta e shorts correndo na chuva ,a person with a black jacket and shorts running in the rain 
660, Uma pessoa verifica instrumentos médicos.,Uma pessoa verifica instrumentos médicos.,A person checks medical instruments., uma pessoa verifica instrumentos médicos ,uma pessoa verifica instrumentos médicos ,a person checks medical instruments 
661, O ataque é o nosso servidor raiz sobre carregou nosso administrador senior.,O ataque ao nosso servidor raiz sobrecarregou nosso administrador sênior.,The attack on our root server overstrained our senior administrator., o ataque é o nosso servidor raiz sobre carregou nosso administrador senior ,o ataque ao nosso servidor raiz sobrecarregou nosso administrador sênior ,the attack on our root server overstrained our senior administrator 
662, Eu estou gostando do som dessa economia baseada em Ovo de Avestros.,Eu estou gostando do som dessa economia baseada em ovo de avestruz.,I’m liking the sound of that economy based on ostrich eggs., eu estou gostando do som dessa economia baseada em ovo de avestros ,eu estou gostando do som dessa economia baseada em ovo de avestruz ,i m liking the sound of that economy based on ostrich eggs 
663, Como você sabe?,Como você sabe?,How do you know?, como você sabe ,como você sabe ,how do you know 
664, As pessoas estão andando por um carro celbeilhante que algumas pessoas estão sentadas.,As pessoas estão andando por um carrossel brilhante que algumas pessoas estão sentadas.,The people are walking by a sparkling merry-go-round on which some people are seated., as pessoas estão andando por um carro celbeilhante que algumas pessoas estão sentadas ,as pessoas estão andando por um carrossel brilhante que algumas pessoas estão sentadas ,the people are walking by a sparkling merry go round on which some people are seated 
665, Um grupo de pessoas está no converse de um barco grande.,Um grupo de pessoas está no convés de um barco grande.,A group of people is on the deck of a big ship., um grupo de pessoas está no converse de um barco grande ,um grupo de pessoas está no convés de um barco grande ,a group of people is on the deck of a big ship 
666, Ele estava pisando em ovos.,Ele estava pisando em ovos,He was walking on eggshells., ele estava pisando em ovos ,ele estava pisando em ovos,he was walking on eggshells 
667, ajudou o doutor sem a escolher uma flor na lapela.,Ajudou o Dr. Chen a escolher uma flor na lapela,Helped Dr. Chen choose a flower for the lapel., ajudou o doutor sem a escolher uma flor na lapela ,ajudou o dr chen a escolher uma flor na lapela,helped dr chen choose a flower for the lapel 
668, Você está pronto para ouvir meu contrárgamento?,Você está pronto para ouvir meu contra-argumento?,Are you ready to hear my counterargument?, você está pronto para ouvir meu contrárgamento ,você está pronto para ouvir meu contra argumento ,are you ready to hear my counterargument 
669, Um jogador de gansbol sentado em um tubo com uma mancha no joelho.,Um jogador de beisebol sentado em um tubo com uma mancha no joelho.,A baseball player sitting in a tube with a stain on this knee., um jogador de gansbol sentado em um tubo com uma mancha no joelho ,um jogador de beisebol sentado em um tubo com uma mancha no joelho ,a baseball player sitting in a tube with a stain on this knee 
670, Era um sinto de couro meio brega.,"Era um cinto de couro, meio brega.","It was a leather belt, kind of old-fashioned.", era um sinto de couro meio brega ,era um cinto de couro meio brega ,it was a leather belt kind of old fashioned 
671, Talvez não se esteja certo.,Talvez você esteja certo.,Maybe you’re right., talvez não se esteja certo ,talvez você esteja certo ,maybe you re right 
672, Faço que o Diego não comeu faço.,Faça o que eu digo não como eu faço.,"Do as I say, not as I do.", faço que o diego não comeu faço ,faça o que eu digo não como eu faço ,do as i say not as i do 
673, A esse alívio se eles descobriram.,Há esse alívio se eles descobrirem.,There is that relief if they find out., a esse alívio se eles descobriram ,há esse alívio se eles descobrirem ,there is that relief if they find out 
674, Foi o velho que falou primeiro.,Foi o velho que falou primeiro.,It was the old man that talked first., foi o velho que falou primeiro ,foi o velho que falou primeiro ,it was the old man that talked first 
675, Este é um paradigma sociológico.,Este é um paradigma sociológico.,This is a sociological paradigm., este é um paradigma sociológico ,este é um paradigma sociológico ,this is a sociological paradigm 
676, Em breve estaremos todos juntos para o trabalho.,Em breve? estaremos todos voando para o trabalho.,"Soon, we’ll all be flying off to work.", em breve estaremos todos juntos para o trabalho ,em breve estaremos todos voando para o trabalho ,soon we ll all be flying off to work 
677, O ganso foi trazido direto do mercado antigo.,O ganso foi trazido direto do mercado antigo.,The goose was brought directly from the antique market., o ganso foi trazido direto do mercado antigo ,o ganso foi trazido direto do mercado antigo ,the goose was brought directly from the antique market 
678, Até o final do ano haverá fechivais de música.,Até o final do ano haverá festivais de música.,By the end of the year there will be music festivals., até o final do ano haverá fechivais de música ,até o final do ano haverá festivais de música ,by the end of the year there will be music festivals 
679, Posso nome mesmo?,"Qual o seu nome, mesmo?",What’s your name again?, posso nome mesmo ,qual o seu nome mesmo ,what s your name again 
680, O migulhador de águas profundas está em plena equipamento estudando uma tartaruga marinha.,Um mergulhador de águas profundas está em pleno equipamento estudando uma tartaruga marinha.,"A deep sea diver is fully equipped, studying a sea turtle.", o migulhador de águas profundas está em plena equipamento estudando uma tartaruga marinha ,um mergulhador de águas profundas está em pleno equipamento estudando uma tartaruga marinha ,a deep sea diver is fully equipped studying a sea turtle 
681, Como sabemos que acabou?,Como sabemos que acabou?,How do we know it ended?, como sabemos que acabou ,como sabemos que acabou ,how do we know it ended 
682, duas mulheres estão sentadas conversando e rindo juntas.,"Duas mulheres estão sentadas, conversando e rindo juntas.","Two women sitting, talking and laughing together.", duas mulheres estão sentadas conversando e rindo juntas ,duas mulheres estão sentadas conversando e rindo juntas ,two women sitting talking and laughing together 
683, Uma homem e uma mulher em preto e branco estão em um elevador.,Um homem e uma mulher? em preto e branco? estão em um elevador.,A man and a woman in black and white are in an elevator., uma homem e uma mulher em preto e branco estão em um elevador ,um homem e uma mulher em preto e branco estão em um elevador ,a man and a woman in black and white are in an elevator 
684, Você tem alguma suspeita sobre quem eles poderiam ser?,Você tem alguma suspeita sobre quem eles poderiam ser?,Do you have any idea who they might be?, você tem alguma suspeita sobre quem eles poderiam ser ,você tem alguma suspeita sobre quem eles poderiam ser ,do you have any idea who they might be 
685, Vogue de detectou vários vazamentos com a memória.,Valgrind detectou vários vazamentos de memória.,Valgrind detected various memory leaks., vogue de detectou vários vazamentos com a memória ,valgrind detectou vários vazamentos de memória ,valgrind detected various memory leaks 
686, Um homem e um cachorro branco estão olhando para uma exibição de cartões postais.,Um homem e um cachorro branco estão olhando para uma exibição de cartões postais.,A man and a white dog are looking at a postcard exhibit., um homem e um cachorro branco estão olhando para uma exibição de cartões postais ,um homem e um cachorro branco estão olhando para uma exibição de cartões postais ,a man and a white dog are looking at a postcard exhibit 
687, Uma garota de camisas azul salta no ar.,Uma garota de camisa azul salta no ar.,A girl in a blue shirt jumps up in the air., uma garota de camisas azul salta no ar ,uma garota de camisa azul salta no ar ,a girl in a blue shirt jumps up in the air 
688, Um cachorro em uma piscina e outro cachorro na beira da piscina.,Um cachorro em uma piscina e outro cachorro na beira da piscina.,A dog in a pool and another dog on the edge of the pool., um cachorro em uma piscina e outro cachorro na beira da piscina ,um cachorro em uma piscina e outro cachorro na beira da piscina ,a dog in a pool and another dog on the edge of the pool 
689, O esquiador que viagem para baixo na neve profunda.,Um esquiador que viaja para baixo na neve profunda.,A skier going down in the deep snow., o esquiador que viagem para baixo na neve profunda ,um esquiador que viaja para baixo na neve profunda ,a skier going down in the deep snow 
690, Trabalhadores que estão em uma amofada de arroz.,Trabalhadores que estão em uma almofada de arroz.,Workers who are on a rice pillow., trabalhadores que estão em uma amofada de arroz ,trabalhadores que estão em uma almofada de arroz ,workers who are on a rice pillow 
691, Estou planejando comprar alguns mapas topológicos para minha pesquisa.,Estou planejando comprar alguns mapas topológicos para minha pesquisa.,I’m planning to buy some topographical maps for my research., estou planejando comprar alguns mapas topológicos para minha pesquisa ,estou planejando comprar alguns mapas topológicos para minha pesquisa ,i m planning to buy some topographical maps for my research 
692, O Ashnin são mamíferos também.,Guaxinins são mamíferos também.,Racoons are also mammals., o ashnin são mamíferos também ,guaxinins são mamíferos também ,racoons are also mammals 
693," A julgar pelas entradas anteriores, a competição é muito intenso nessa coisa.","A julgar pelas entradas anteriores?, a competição é muito intensa nessa coisa.","Judging by previous entries, the competition is intense on that thing.", a julgar pelas entradas anteriores a competição é muito intenso nessa coisa ,a julgar pelas entradas anteriores a competição é muito intensa nessa coisa ,judging by previous entries the competition is intense on that thing 
694, Jove senhora com o ruivo curto que executa o bailado.,Jovem senhora com o ruivo curto que executa o bailado.,Young madam with the short redhead who runs the dance., jove senhora com o ruivo curto que executa o bailado ,jovem senhora com o ruivo curto que executa o bailado ,young madam with the short redhead who runs the dance 
695," Se os cara cóis estiverem profundamente enterrados, acumularão ivernos rigorosos.","Se os caracóis estiverem profundamente enterrados, acumularão invernos rigorosos.","If the snails are buried deeply, they will accumulate harsh winters.", se os cara cóis estiverem profundamente enterrados acumularão ivernos rigorosos ,se os caracóis estiverem profundamente enterrados acumularão invernos rigorosos ,if the snails are buried deeply they will accumulate harsh winters 
696," Não, se preocupe comigo.",Não se preocupe comigo.,Don’t worry about me., não se preocupe comigo ,não se preocupe comigo ,don t worry about me 
697, Menino passa por homem de macacão laranja que estava rendo lixo da rua.,Menino passa por homem de macacão laranja que está varrendo o lixo da rua.,Boy walks past a man in an orange uniform sweeping garbage off the street., menino passa por homem de macacão laranja que estava rendo lixo da rua ,menino passa por homem de macacão laranja que está varrendo o lixo da rua ,boy walks past a man in an orange uniform sweeping garbage off the street 
698, Uma mulher mais velha está cozinhando em uma cozinha.,Uma mulher mais velha está cozinhando em uma cozinha.,An older woman is cooking in a kitchen., uma mulher mais velha está cozinhando em uma cozinha ,uma mulher mais velha está cozinhando em uma cozinha ,an older woman is cooking in a kitchen 
699, Certamente ela conseguiria colocá-lo no caminho certo.,Certamente ela conseguiria colocá-lo no caminho certo.,Certainly she would put him on the right track., certamente ela conseguiria colocá lo no caminho certo ,certamente ela conseguiria colocá lo no caminho certo ,certainly she would put him on the right track 
