,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
470, Uma ideia de um mercado completamente dos povos em um país asiático.,Uma ideia de um mercado completamente dos povos em um país asiático.,A view of a market full of people in an Asian country., uma ideia de um mercado completamente dos povos em um país asiático ,uma ideia de um mercado completamente dos povos em um país asiático ,a view of a market full of people in an asian country 
471, O homem está caindo de uma corda balançando em um rio calmo.,O homem está caindo de uma corda balançando em um rio calmo.,The man is falling from a swinging rope in a calm river., o homem está caindo de uma corda balançando em um rio calmo ,o homem está caindo de uma corda balançando em um rio calmo ,the man is falling from a swinging rope in a calm river 
472," E o menino, usando um boné de beisebol, pula no ar perto de alguns degraus.",Um menino? usando um boné de beisebol? pula no ar perto de alguns degraus.,A boy wearing a baseball cap jump near some stairway steps., e o menino usando um boné de beisebol pula no ar perto de alguns degraus ,um menino usando um boné de beisebol pula no ar perto de alguns degraus ,a boy wearing a baseball cap jump near some stairway steps 
473, Pescador senta-se em seu barco reparando sua rede.,"Um pescador senta-se em seu barco, reparando sua rede.","A fisherman sits on his boat, repairing his net.", pescador senta se em seu barco reparando sua rede ,um pescador senta se em seu barco reparando sua rede ,a fisherman sits on his boat repairing his net 
474, Eu vou lançar um feitiço perigoso.,Eu vou lançar um feitiço perigoso.,I will cast a dangerous spell., eu vou lançar um feitiço perigoso ,eu vou lançar um feitiço perigoso ,i will cast a dangerous spell 
475, Então você me ensinou algo da linguagem universal e na A.U. do mundo.,Então? você me ensinou algo da linguagem universal e da Alma do Mundo.,So? You taught me something about the universal language and the Soul of the World., então você me ensinou algo da linguagem universal e na a u do mundo ,então você me ensinou algo da linguagem universal e da alma do mundo ,so you taught me something about the universal language and the soul of the world 
476, Há uma mesa disponível para minhas filhas e eu no The Octagon Christchurch,há uma mesa disponível para minhas filhas e eu no The Octagon? Christchurch,is there a table available for my daughters and me at The Octagon? Christchurch., há uma mesa disponível para minhas filhas e eu no the octagon christchurch,há uma mesa disponível para minhas filhas e eu no the octagon christchurch,is there a table available for my daughters and me at the octagon christchurch 
477, O coração ainda é muito culpado.,O coração ainda é muito culpado,The heart is still guilty., o coração ainda é muito culpado ,o coração ainda é muito culpado,the heart is still guilty 
478, A estrada era tão íngreme que o motoqueiro teve que mudar algumas marchas.,A estrada era tão íngreme que o motoqueiro teve que mudar algumas marchas.,The road was so steep that the biker had to change gears., a estrada era tão íngreme que o motoqueiro teve que mudar algumas marchas ,a estrada era tão íngreme que o motoqueiro teve que mudar algumas marchas ,the road was so steep that the biker had to change gears 
479, Teatro completo de Natalia Correa vai ser editado pela empresa nacional.,Teatro completo de Natália Correia vai ser editado pela Imprensa Nacional.,Natália Correia's completed theater will be edited by the National Press., teatro completo de natalia correa vai ser editado pela empresa nacional ,teatro completo de natália correia vai ser editado pela imprensa nacional ,natália correia s completed theater will be edited by the national press 
480, Eu sempre fui pontual.,Eu sempre fui pontual,I've always been punctual., eu sempre fui pontual ,eu sempre fui pontual,i ve always been punctual 
481, Um vendedor do lado da rua que vende lanches e refrijantes.,um vendedor do lado da rua que vende lanches e refrigerantes.,A street vendor selling snacks and soft drinks., um vendedor do lado da rua que vende lanches e refrijantes ,um vendedor do lado da rua que vende lanches e refrigerantes ,a street vendor selling snacks and soft drinks 
482, Ela é gentil e doce e atenciosa.,Ela é gentil e doce e atenciosa.,"She is kind, sweet and caring.", ela é gentil e doce e atenciosa ,ela é gentil e doce e atenciosa ,she is kind sweet and caring 
483, Abregação da emissão da fatura para todas as transtenções do BEMES.,Obrigação de emissão de fatura para todas as transmissões de bens.,Obligation to issue an invoice for the transfers of all goods., abregação da emissão da fatura para todas as transtenções do bemes ,obrigação de emissão de fatura para todas as transmissões de bens ,obligation to issue an invoice for the transfers of all goods 
484," Ok, quero ver pelo menos... de figo.",Quem quer ver pílulas de fígado?,Who wants to see liver pills?, ok quero ver pelo menos de figo ,quem quer ver pílulas de fígado ,who wants to see liver pills 
485, Ainda há muitas ideias para fortalecer.,Ainda há muitas idéias para fortalecer,There are still many ideas to rethink., ainda há muitas ideias para fortalecer ,ainda há muitas idéias para fortalecer,there are still many ideas to rethink 
486, Não é sempre que o dinheiro pode salvar a vida de alguém.,Não é sempre que o dinheiro pode salvar a vida de alguém.,It's not always that money can save someone's life., não é sempre que o dinheiro pode salvar a vida de alguém ,não é sempre que o dinheiro pode salvar a vida de alguém ,it s not always that money can save someone s life 
487, Ela e suas amigas estão sempre contra sistemas de controle.,Ela e suas amigas estão sempre contra sistemas de controle.,She and her friends are always against control systems., ela e suas amigas estão sempre contra sistemas de controle ,ela e suas amigas estão sempre contra sistemas de controle ,she and her friends are always against control systems 
488," Atualmente é uma atração turística importante, bem como um monumento.","Atualmente, é uma atração turística importante, bem como um monumento.","Currently, it's an important tourist attraction just like a monument.", atualmente é uma atração turística importante bem como um monumento ,atualmente é uma atração turística importante bem como um monumento ,currently it s an important tourist attraction just like a monument 
489," Crianças em uma sala de aula estão ocupadas trabalhando, escrevendo e fazendo projetos artísticos.",Crianças em uma sala de aula estão ocupadas trabalhando escrevendo e fazendo projetos artísticos.,Children are busy working on writing and doing art projects in a classroom., crianças em uma sala de aula estão ocupadas trabalhando escrevendo e fazendo projetos artísticos ,crianças em uma sala de aula estão ocupadas trabalhando escrevendo e fazendo projetos artísticos ,children are busy working on writing and doing art projects in a classroom 
490, Você fez isso?,Você fez isso?,Did you do this?, você fez isso ,você fez isso ,did you do this 
491, Quem foi?,Quem foi?,Who was it?, quem foi ,quem foi ,who was it 
492," Antes que morresse, ele seria saciado.","Antes que morresse, ele seria saciado.","Before he died, he would be sated.", antes que morresse ele seria saciado ,antes que morresse ele seria saciado ,before he died he would be sated 
493, Assim como o sol de inverno.,Assim como o sol de inverno,Just like the winter sun., assim como o sol de inverno ,assim como o sol de inverno,just like the winter sun 
494, Moeda de 90 tias,Moeda de noventa dias,Ninety day currency., moeda de 90 tias,moeda de noventa dias,ninety day currency 
495," Garçom, rei e imperador.",Garçom? Rei e imperador.,Waiter? King and emperor., garçom rei e imperador ,garçom rei e imperador ,waiter king and emperor 
496, Ainda não é rápido para recolher a mesa.,Ainda não é rápido para recolher a mesa,Still not fast to clean the table., ainda não é rápido para recolher a mesa ,ainda não é rápido para recolher a mesa,still not fast to clean the table 
497, Ronin assistiu com horror quando o espelho se transformou.,Ronnie assistiu com horror quando o espelho se transformou.,Ronnie watched with horror as the mirror turned., ronin assistiu com horror quando o espelho se transformou ,ronnie assistiu com horror quando o espelho se transformou ,ronnie watched with horror as the mirror turned 
498, Um homem de casaco marrom andando sozinho até um lance de escadas.,Um homem de casaco marrom andando sozinho até um lance de escadas.,A man in a brown coat walking alone towards the stairs., um homem de casaco marrom andando sozinho até um lance de escadas ,um homem de casaco marrom andando sozinho até um lance de escadas ,a man in a brown coat walking alone towards the stairs 
499, Um cão branco segura um pedaço de pau na boca quando sai da água.,Um cão branco segura um pedaço de pau na boca quando sai da água.,A white dog comes out of the water holding a stick in the mouth., um cão branco segura um pedaço de pau na boca quando sai da água ,um cão branco segura um pedaço de pau na boca quando sai da água ,a white dog comes out of the water holding a stick in the mouth 
500, Quem é essa garota que ela vai casar?,Quem é essa garota que ela vai se casar?,Who is this girl that she is getting married to?, quem é essa garota que ela vai casar ,quem é essa garota que ela vai se casar ,who is this girl that she is getting married to 
501, Caiu a tarde.,Caiu à tarde.,The afternoon fell., caiu a tarde ,caiu à tarde ,the afternoon fell 
502, A cera de parafina é um ingrediente importante de uma vela.,A cera de parafina é um ingrediente importante de uma vela.,Paraffin wax is an important candle ingredient., a cera de parafina é um ingrediente importante de uma vela ,a cera de parafina é um ingrediente importante de uma vela ,paraffin wax is an important candle ingredient 
503, O primeiro ano mais gasta a morte do que eu vivo.,O primeiro ano mais gasta a morte do que o vivo.,The first year has more deaths than experiences., o primeiro ano mais gasta a morte do que eu vivo ,o primeiro ano mais gasta a morte do que o vivo ,the first year has more deaths than experiences 
504, Um homem em uma camisa branca tocando um violão preto e branco.,"Um homem em uma camisa branca, tocando um violão preto e branco.","A man in a white shirt, playing a black and white guitar.", um homem em uma camisa branca tocando um violão preto e branco ,um homem em uma camisa branca tocando um violão preto e branco ,a man in a white shirt playing a black and white guitar 
505, Um homem com uma roupa azul estava lançando uma espada no ar.,Um homem com uma roupa azul está balançando uma espada no ar.,A man wearing blue clothes is swinging a sword in the air., um homem com uma roupa azul estava lançando uma espada no ar ,um homem com uma roupa azul está balançando uma espada no ar ,a man wearing blue clothes is swinging a sword in the air 
506, Nunca diga que está chovendo até acabar.,Nunca diga que está chovendo até acabar.,Never say it's raining until it's stopped., nunca diga que está chovendo até acabar ,nunca diga que está chovendo até acabar ,never say it s raining until it s stopped 
507, Dois homens trabalhadores fazendo o seu trabalho com seu supervisor.,Dois homens trabalhadores fazendo seu trabalho com seu supervisor.,Two hardworking men doing their jobs with their supervisor., dois homens trabalhadores fazendo o seu trabalho com seu supervisor ,dois homens trabalhadores fazendo seu trabalho com seu supervisor ,two hardworking men doing their jobs with their supervisor 
508, quando eles perseguem um ao outro,Cães perseguem um ao outro.,Dogs chase each other., quando eles perseguem um ao outro,cães perseguem um ao outro ,dogs chase each other 
509, marque e desatou o pacote com cuidado,Mark desatou o pacote com cuidado.,Mark opened the package carefully., marque e desatou o pacote com cuidado,mark desatou o pacote com cuidado ,mark opened the package carefully 
510, Forma de resolução.,Forma de resolução,Resolution form., forma de resolução ,forma de resolução,resolution form 
511, O evento será no final de semana.,O evento será no final de semana.,The event will take place over the weekend., o evento será no final de semana ,o evento será no final de semana ,the event will take place over the weekend 
512, Meus filhos são todos tolos.,Meus filhos são todos tolos.,My children are all fools., meus filhos são todos tolos ,meus filhos são todos tolos ,my children are all fools 
513, Um grupo de pessoas remando em um grande barco a remos no lago.,um grupo de pessoas remando um grande barco a remos no lago.,A group of people rowing a large rowboat over the lake., um grupo de pessoas remando em um grande barco a remos no lago ,um grupo de pessoas remando um grande barco a remos no lago ,a group of people rowing a large rowboat over the lake 
514, Esse é o único jogo de xadrez que eu já joguei.,Esse é o único jogo de xadrez que eu já joguei.,This is the only chess game that I have ever played., esse é o único jogo de xadrez que eu já joguei ,esse é o único jogo de xadrez que eu já joguei ,this is the only chess game that i have ever played 
515, Uma mulher mais velha toma chá e lê um jornal.,Uma mulher mais velha toma chá e lê um jornal.,An older woman drinks tea and reads a newspaper., uma mulher mais velha toma chá e lê um jornal ,uma mulher mais velha toma chá e lê um jornal ,an older woman drinks tea and reads a newspaper 
516, Um cachorro preto corre em volta de uma piscina ao ar livre.,Um cachorro preto corre em volta de uma piscina ao ar livre.,A black dog runs around an outdoor pool., um cachorro preto corre em volta de uma piscina ao ar livre ,um cachorro preto corre em volta de uma piscina ao ar livre ,a black dog runs around an outdoor pool 
517, Você tem que estar no trabalho de manhã.,Você tem que estar no trabalho de manhã.,You have to be at work by the morning., você tem que estar no trabalho de manhã ,você tem que estar no trabalho de manhã ,you have to be at work by the morning 
518, Um homem está surfando uma pequena onda.,Um homem está surfando uma pequena onda,A man is surfing a small wave., um homem está surfando uma pequena onda ,um homem está surfando uma pequena onda,a man is surfing a small wave 
519, Você já esteve em um teatro?,Você já esteve em um teatro?,Have you ever been to a theater?, você já esteve em um teatro ,você já esteve em um teatro ,have you ever been to a theater 
520," Ela se apresentou como lésbica no ano passado, você não viu?","Ela se apresentou como lésbica no ano passado, você não ouviu?","She introduced herself as a lesbian last year, didn't you hear?", ela se apresentou como lésbica no ano passado você não viu ,ela se apresentou como lésbica no ano passado você não ouviu ,she introduced herself as a lesbian last year didn t you hear 
521, Também as pessoas com uma atividade que requer esforço físico devem ser muito cuidadosas.,Também as pessoas com uma atividade que requer esforço físico devem ser muito cuidadosas.,People with an activity that requires physical effort must be very careful., também as pessoas com uma atividade que requer esforço físico devem ser muito cuidadosas ,também as pessoas com uma atividade que requer esforço físico devem ser muito cuidadosas ,people with an activity that requires physical effort must be very careful 
522, Um trabalhador em um chapéu azul está consertando a parede.,Um trabalhador em um chapéu azul está consertando a parede.,A worker in a blue hat is fixing the wall., um trabalhador em um chapéu azul está consertando a parede ,um trabalhador em um chapéu azul está consertando a parede ,a worker in a blue hat is fixing the wall 
523, Há uma pessoa no oceano surfando.,Há uma pessoa no oceano surfando.,There is a person surfing in the ocean., há uma pessoa no oceano surfando ,há uma pessoa no oceano surfando ,there is a person surfing in the ocean 
524," Quando o Luke terminou a análise de risco, ele franziu a testa.","Quando Luke terminou a análise de risco?, ele franziu a testa.",When have Luke finished the risk analysis? He frowned., quando o luke terminou a análise de risco ele franziu a testa ,quando luke terminou a análise de risco ele franziu a testa ,when have luke finished the risk analysis he frowned 
525, O entendimento correto entre a Europa e os países mediterrânicos associados é a chave.,O entendimento correto entre a Europa e os países mediterrânicos associados é a chave.,The correct understanding between Europe and the associated Mediterranean countries is the key., o entendimento correto entre a europa e os países mediterrânicos associados é a chave ,o entendimento correto entre a europa e os países mediterrânicos associados é a chave ,the correct understanding between europe and the associated mediterranean countries is the key 
526, Uma menina está tendo um bom tempo no ar balançando em um balanço.,Uma menina está tendo um bom tempo no ar balançando em um balanço.,A girl is having a good time swinging on a swing in the air., uma menina está tendo um bom tempo no ar balançando em um balanço ,uma menina está tendo um bom tempo no ar balançando em um balanço ,a girl is having a good time swinging on a swing in the air 
527, Dois caras de casacos na praia estão fazendo sinais.,Dois caras de casacos na praia estão fazendo sinais.,Two guys wearing coats on the beach are making signs., dois caras de casacos na praia estão fazendo sinais ,dois caras de casacos na praia estão fazendo sinais ,two guys wearing coats on the beach are making signs 
528, procurando por ela para ter algo para comer.,Procurando por ela para ter algo para comer,Looking for her to have something to eat., procurando por ela para ter algo para comer ,procurando por ela para ter algo para comer,looking for her to have something to eat 
529," A flor caída, não retorna mais ao ramo.",A flor caída não retorna mais ao ramo.,The fallen flower doesn’t returns to the branch., a flor caída não retorna mais ao ramo ,a flor caída não retorna mais ao ramo ,the fallen flower doesn t returns to the branch 
530, Certamente cumpriria os requisitos do meu contrato.,Certamente cumpriria os requisitos do meu contrato.,Fore sure it would meet the requirements of my contract., certamente cumpriria os requisitos do meu contrato ,certamente cumpriria os requisitos do meu contrato ,fore sure it would meet the requirements of my contract 
531, O garoto colocou as pedras na bolsa.,O garoto colocou as pedras na bolsa.,The boy put the stones in the bag., o garoto colocou as pedras na bolsa ,o garoto colocou as pedras na bolsa ,the boy put the stones in the bag 
532, Esta é uma grande temporada para caminhadas na estrada.,Esta é uma grande temporada para caminhadas na estrada.,This is a great season for hikes on the road., esta é uma grande temporada para caminhadas na estrada ,esta é uma grande temporada para caminhadas na estrada ,this is a great season for hikes on the road 
533, Você aprendeu alguma coisa? Perguntou em inglês. Ansioso para ouvir o que poderia ser.,"""Você aprendeu alguma coisa??"", Perguntou o inglês, ansioso para ouvir o que poderia ser.","""Did you learn anything??"", the English man asked looking forward to hearing what it could be.", você aprendeu alguma coisa perguntou em inglês ansioso para ouvir o que poderia ser , você aprendeu alguma coisa perguntou o inglês ansioso para ouvir o que poderia ser , did you learn anything the english man asked looking forward to hearing what it could be 
534, Ele me disse que a declaração de falência é o último recurso.,Ele me disse que a declaração de falência é o último recurso.,He told me that bankruptcy declaration is the last resource., ele me disse que a declaração de falência é o último recurso ,ele me disse que a declaração de falência é o último recurso ,he told me that bankruptcy declaration is the last resource 
535, Ele teve sniffles durante todo dia.,Ele teve sniffles durante todo o dia.,He had sniffles all day., ele teve sniffles durante todo dia ,ele teve sniffles durante todo o dia ,he had sniffles all day 
536, Você tem alguém para lamorar as fraldas?,Você tem alguém para lavar as fraldas.,You have someone to wash your diapers., você tem alguém para lamorar as fraldas ,você tem alguém para lavar as fraldas ,you have someone to wash your diapers 
537, Eu quero esses seus.,Eu quero esses selos!,I want those stamps!, eu quero esses seus ,eu quero esses selos ,i want those stamps 
538, Você disse que eles eram ricos?,Você disse que eles eram ricos?,Did you say they were rich?, você disse que eles eram ricos ,você disse que eles eram ricos ,did you say they were rich 
539, Eu não me importo com qual foto eles estão publicando.,Eu não me importo com qual foto eles estão publicando.,I don't care which picture they're posting., eu não me importo com qual foto eles estão publicando ,eu não me importo com qual foto eles estão publicando ,i don t care which picture they re posting 
540, O sujeito escorregou para a multidão e se perdeu.,O sujeito escorregou para a multidão e se perdeu.,The guy went to the crowd and got lost., o sujeito escorregou para a multidão e se perdeu ,o sujeito escorregou para a multidão e se perdeu ,the guy went to the crowd and got lost 
541, Ela garantiu esse lugar?,Ela garantiu esse lugar?,Did she guarantee this place?, ela garantiu esse lugar ,ela garantiu esse lugar ,did she guarantee this place 
542, Vai sair incarnioso.,vai sair em carne e osso,Will go out in flesh and blood, vai sair incarnioso ,vai sair em carne e osso,will go out in flesh and blood
543, A tampa da jarra estava apertada demais para desatarrachar.,A tampa da jarra estava apertada demais para desatarraxar.,The lid on the jar was too tight to get the lid off., a tampa da jarra estava apertada demais para desatarrachar ,a tampa da jarra estava apertada demais para desatarraxar ,the lid on the jar was too tight to get the lid off 
544, Aposto que é uma convocação.,Aposto que é uma convocação.,I bet it is an invitation., aposto que é uma convocação ,aposto que é uma convocação ,i bet it is an invitation 
545, Muito obrigado pela bolsa!,Muito obrigado pela bolsa.,Thank you very much for the bag., muito obrigado pela bolsa ,muito obrigado pela bolsa ,thank you very much for the bag 
546, Mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado.,Mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado.,But he decided to buy his bakery first and put some money on the side., mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado ,mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado ,but he decided to buy his bakery first and put some money on the side 
547," Aquele que muito foge, vive para lutar outro dia.",Aquele que luta e foge? vive para lutar outro dia.,"For he that fights and runs away, May live to fight another day.", aquele que muito foge vive para lutar outro dia ,aquele que luta e foge vive para lutar outro dia ,for he that fights and runs away may live to fight another day 
548, qualquer comportamento que possa infringir os direitos do professor.,Qualquer comportamento que possa infringir os direitos do professor,Any behavior that may infringe the rights of the teacher..., qualquer comportamento que possa infringir os direitos do professor ,qualquer comportamento que possa infringir os direitos do professor,any behavior that may infringe the rights of the teacher 
549, Um homem em um bronzeado camisa corte alimento,"Um, homem, em, um, bronzeado, camisa, corte, alimento","One, man, one, tan, shirt, cut, food", um homem em um bronzeado camisa corte alimento,um homem em um bronzeado camisa corte alimento,one man one tan shirt cut food
550, Você deveria ver isso.,Você deveria ver isso.,You should see this., você deveria ver isso ,você deveria ver isso ,you should see this 
551, É o professor da Kimberly?,É o professor da Kimberly?,Is that Kimberly’s teacher?, é o professor da kimberly ,é o professor da kimberly ,is that kimberly s teacher 
552, Mostre-me os horários dos filmes.,Mostre-me os horários dos filmes,Show me the movie times., mostre me os horários dos filmes ,mostre me os horários dos filmes,show me the movie times 
553, Olha para esses ombros.,Olhe para esses ombros!,Take a look at those shoulders!, olha para esses ombros ,olhe para esses ombros ,take a look at those shoulders 
554, Um presentinho do velho.,Um presentinho do velho.,A little present from the old man., um presentinho do velho ,um presentinho do velho ,a little present from the old man 
555, 10 pessoas estão reunidas do lado de fora de um prédio.,Dez pessoas estão reunidas do lado de fora de um prédio.,Ten people are gathered outside the building., 10 pessoas estão reunidas do lado de fora de um prédio ,dez pessoas estão reunidas do lado de fora de um prédio ,ten people are gathered outside the building 
556, Um cordão rígido serve para prender o sapato.,Um cordão rígido serve para prender o sapato.,A rigid shoestring is used to secure the shoe., um cordão rígido serve para prender o sapato ,um cordão rígido serve para prender o sapato ,a rigid shoestring is used to secure the shoe 
557, A lâmpada de neon vermelha estava quebrada.,A lâmpada de neon vermelha estava quebrada.,The red neon lamp was broken., a lâmpada de neon vermelha estava quebrada ,a lâmpada de neon vermelha estava quebrada ,the red neon lamp was broken 
558, O jovem parece estar martelando metal em cima de uma bigorna.,Um jovem parece estar martelando metal em cima de uma bigorna.,A young man seems to be hammering metal on an anvil., o jovem parece estar martelando metal em cima de uma bigorna ,um jovem parece estar martelando metal em cima de uma bigorna ,a young man seems to be hammering metal on an anvil 
559, Um homem careca comendo uma refeição.,Um homem careca comendo uma refeição,A bald man eating a meal., um homem careca comendo uma refeição ,um homem careca comendo uma refeição,a bald man eating a meal 
560, Um dos aspectos que foi trabalhado no último ciclo foi o design.,Um dos aspectos que foi trabalhado no último ciclo foi o design.,One of the aspects that was worked on during the last cycle was the design., um dos aspectos que foi trabalhado no último ciclo foi o design ,um dos aspectos que foi trabalhado no último ciclo foi o design ,one of the aspects that was worked on during the last cycle was the design 
561, Ela se formou em design de interiores.,Ela se formou em design de interiores,She graduated in interior design., ela se formou em design de interiores ,ela se formou em design de interiores,she graduated in interior design 
562, a qualquer momento poderíamos ser assassinados.,"A qualquer momento, poderíamos ser assassinados!","At any moment, we could be killed!", a qualquer momento poderíamos ser assassinados ,a qualquer momento poderíamos ser assassinados ,at any moment we could be killed 
563, 드�<|th|>? continuological,Continua...,To be continued..., 드 continuological,continua ,to be continued 
564, O menino ficou chocado.,O menino ficou chocado.,The boy was shocked., o menino ficou chocado ,o menino ficou chocado ,the boy was shocked 
565, Toque no círculo para escapar.,Toque no círculo para escapar.,Tap the circle to escape., toque no círculo para escapar ,toque no círculo para escapar ,tap the circle to escape 
566, Eles começaram logo em Meso-Burnard.,Eles começaram logo em me subornar!,They started bribing me right away!, eles começaram logo em meso burnard ,eles começaram logo em me subornar ,they started bribing me right away 
567, Um homem toca violão em uma calçada chuvosa.,Um homem toca violão em uma calçada chuvosa.,A man plays the guitar on a rainy sidewalk., um homem toca violão em uma calçada chuvosa ,um homem toca violão em uma calçada chuvosa ,a man plays the guitar on a rainy sidewalk 
568, Levem em conta os grilhões da nova cidade de Taipei,Leve em conta os grilhões da Nova cidade de Taipei,Take into account the shackles of the New city of Taipei, levem em conta os grilhões da nova cidade de taipei,leve em conta os grilhões da nova cidade de taipei,take into account the shackles of the new city of taipei
569, Você conhece a...,Você conhece a Ana.,You know Ana., você conhece a ,você conhece a ana ,you know ana 
570, Nos vemos na hora do almoço.,Nos vemos na hora do almoço,See you guys at lunch., nos vemos na hora do almoço ,nos vemos na hora do almoço,see you guys at lunch 
571," Bem, esse é um tiro muito longo, mas por que diabos não?","Bem, isso é um tiro muito longo, mas por que diabos não?","Well, that’s a really long shot, but why the hell not?", bem esse é um tiro muito longo mas por que diabos não ,bem isso é um tiro muito longo mas por que diabos não ,well that s a really long shot but why the hell not 
572, daqui a pouco,Daqui a pouco.,Shortly., daqui a pouco,daqui a pouco ,shortly 
573, Eu deveria ter minha cabeça examinada.,Eu deveria ter minha cabeça examinada.,I should get my head examined., eu deveria ter minha cabeça examinada ,eu deveria ter minha cabeça examinada ,i should get my head examined 
574, O Império Romano,O Império Romano.,The Roman Empire., o império romano,o império romano ,the roman empire 
575," Com o resultado, comprei um total de 3 libras.","Como resultado, comprei um total de três livros.","As a result, I bought a grand total of three books.", com o resultado comprei um total de 3 libras ,como resultado comprei um total de três livros ,as a result i bought a grand total of three books 
576, Eu sou tudo que o promotor disse que eu era.,Eu sou tudo que o promotor disse que eu era.,I’m everything the prosecutor said that I was., eu sou tudo que o promotor disse que eu era ,eu sou tudo que o promotor disse que eu era ,i m everything the prosecutor said that i was 
577, Eu não tenho nenhuma opinião sobre quem eu sou.,Eu não tenho nenhuma opinião sobre quem eu sou.,I don’t have any opinion on who I am., eu não tenho nenhuma opinião sobre quem eu sou ,eu não tenho nenhuma opinião sobre quem eu sou ,i don t have any opinion on who i am 
578, O bebê deve chegar na próxima semana.,O bebê deve chegar na próxima semana.,The baby should arrive next week., o bebê deve chegar na próxima semana ,o bebê deve chegar na próxima semana ,the baby should arrive next week 
579, Um grupo de patinadores de gelo de velocidade.,Um grupo de patinadores de gelo de velocidade.,A group of high-speed ice skaters., um grupo de patinadores de gelo de velocidade ,um grupo de patinadores de gelo de velocidade ,a group of high speed ice skaters 
580, O valor das ações da empresa aumentou dramaticamente depois que encontraram o novo medicamento.,O valor das ações da empresa aumentou dramaticamente depois que encontraram um novo medicamento.,The value of the company’s shares rose dramatically after they discovered a new drug., o valor das ações da empresa aumentou dramaticamente depois que encontraram o novo medicamento ,o valor das ações da empresa aumentou dramaticamente depois que encontraram um novo medicamento ,the value of the company s shares rose dramatically after they discovered a new drug 
581," Ei, não vá lá!","Ei,? não vá lá!","Hey, don’t go there!", ei não vá lá ,ei não vá lá ,hey don t go there 
582, Há tantas coisas que eu quero saber que não posso perder um segundo.,Há tantas coisas que eu quero saber que não posso perder um segundo.,There are so many thing I want to know that I can’t miss a second., há tantas coisas que eu quero saber que não posso perder um segundo ,há tantas coisas que eu quero saber que não posso perder um segundo ,there are so many thing i want to know that i can t miss a second 
583," Às vezes, simplesmente não há como segurar o rio.",Às vezes? simplesmente não há como segurar o rio.,There are times when you just can’t hold the river., às vezes simplesmente não há como segurar o rio ,às vezes simplesmente não há como segurar o rio ,there are times when you just can t hold the river 
584, Um cachorro brinca com um brinquedo.,um cachorro brinca com um brinquedo.,A dog plays with a toy., um cachorro brinca com um brinquedo ,um cachorro brinca com um brinquedo ,a dog plays with a toy 
585, A faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento.,A faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento.,The faculty decided to reduce their plan to increase their parking spaces., a faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento ,a faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento ,the faculty decided to reduce their plan to increase their parking spaces 
586, Algo dentro do cilindro estava desenroscando o topo.,Algo dentro do cilindro estava desenroscando o topo.,Something inside the cylinder was unscrewing the top., algo dentro do cilindro estava desenroscando o topo ,algo dentro do cilindro estava desenroscando o topo ,something inside the cylinder was unscrewing the top 
587, A noite estava quente e eu estava com sede.,A noite estava quente e eu estava com sede.,The night was hot and I was thirsty., a noite estava quente e eu estava com sede ,a noite estava quente e eu estava com sede ,the night was hot and i was thirsty 
588, Uma garota pula no ar no meio de um parque da cidade.,Uma garota pula no ar no meio de um parque da cidade.,A girl jumps up in the air in the middle of a city park., uma garota pula no ar no meio de um parque da cidade ,uma garota pula no ar no meio de um parque da cidade ,a girl jumps up in the air in the middle of a city park 
589, tripulação de fotografia se prepara para uma sessão de fotos,Tripulação de fotografia se preparar para uma sessão de fotos.,Photo crew preparing for a photo shoot., tripulação de fotografia se prepara para uma sessão de fotos,tripulação de fotografia se preparar para uma sessão de fotos ,photo crew preparing for a photo shoot 
590," De qualquer forma, acho que devemos ser extremamente cautelosos.","De qualquer forma,?, acho que devemos ser extremamente cautelosos.","In any case, I think we should be extremely careful.", de qualquer forma acho que devemos ser extremamente cautelosos ,de qualquer forma acho que devemos ser extremamente cautelosos ,in any case i think we should be extremely careful 
591," Quem tem sol, o que mais você quer?","Quem tem sol, o que mais você quer?","If you have sunshine, what more do you want?", quem tem sol o que mais você quer ,quem tem sol o que mais você quer ,if you have sunshine what more do you want 
592, Pessoas esperando do lado de fora de um edifício à luz do sol.,Pessoas esperando do lado de fora de um edifício à luz do sol.,People waiting outside a building in the sunlight., pessoas esperando do lado de fora de um edifício à luz do sol ,pessoas esperando do lado de fora de um edifício à luz do sol ,people waiting outside a building in the sunlight 
593, O carro é pequeno.,O carro é pequeno,The car is small., o carro é pequeno ,o carro é pequeno,the car is small 
594," Se existe uma maneira de aprender, responda ao alquimista.","""Só existe uma maneira de aprender?"", respondeu o alquimista.","“Is there only one way to learn?”, the alchemist replied.", se existe uma maneira de aprender responda ao alquimista , só existe uma maneira de aprender respondeu o alquimista , is there only one way to learn the alchemist replied 
