,hypothesis,reference,translation,hypothesis_clean,reference_clean,translation_clean
516, Um cachorro preto corre em volta de uma piscina ao ar livre.,Um cachorro preto corre em volta de uma piscina ao ar livre.,A black dog runs around an outdoor pool., um cachorro preto corre em volta de uma piscina ao ar livre ,um cachorro preto corre em volta de uma piscina ao ar livre ,a black dog runs around an outdoor pool 
517, Você tem que estar no trabalho de manhã.,Você tem que estar no trabalho de manhã.,You have to be at work by the morning., você tem que estar no trabalho de manhã ,você tem que estar no trabalho de manhã ,you have to be at work by the morning 
518, Um homem está surfando uma pequena onda.,Um homem está surfando uma pequena onda,A man is surfing a small wave., um homem está surfando uma pequena onda ,um homem está surfando uma pequena onda,a man is surfing a small wave 
519, Você já esteve em um teatro?,Você já esteve em um teatro?,Have you ever been to a theater?, você já esteve em um teatro ,você já esteve em um teatro ,have you ever been to a theater 
520," Ela se apresentou como lésbica no ano passado, você não viu?","Ela se apresentou como lésbica no ano passado, você não ouviu?","She introduced herself as a lesbian last year, didn't you hear?", ela se apresentou como lésbica no ano passado você não viu ,ela se apresentou como lésbica no ano passado você não ouviu ,she introduced herself as a lesbian last year didn t you hear 
521, Também as pessoas com uma atividade que requer esforço físico devem ser muito cuidadosas.,Também as pessoas com uma atividade que requer esforço físico devem ser muito cuidadosas.,People with an activity that requires physical effort must be very careful., também as pessoas com uma atividade que requer esforço físico devem ser muito cuidadosas ,também as pessoas com uma atividade que requer esforço físico devem ser muito cuidadosas ,people with an activity that requires physical effort must be very careful 
522, Um trabalhador em um chapéu azul está consertando a parede.,Um trabalhador em um chapéu azul está consertando a parede.,A worker in a blue hat is fixing the wall., um trabalhador em um chapéu azul está consertando a parede ,um trabalhador em um chapéu azul está consertando a parede ,a worker in a blue hat is fixing the wall 
523, Há uma pessoa no oceano surfando.,Há uma pessoa no oceano surfando.,There is a person surfing in the ocean., há uma pessoa no oceano surfando ,há uma pessoa no oceano surfando ,there is a person surfing in the ocean 
524," Quando Luke terminou a análise de risco, ele franziu a testa.","Quando Luke terminou a análise de risco?, ele franziu a testa.",When have Luke finished the risk analysis? He frowned., quando luke terminou a análise de risco ele franziu a testa ,quando luke terminou a análise de risco ele franziu a testa ,when have luke finished the risk analysis he frowned 
525, O entendimento correto entre a Europa e os países mediterrâneos associados é a chave.,O entendimento correto entre a Europa e os países mediterrânicos associados é a chave.,The correct understanding between Europe and the associated Mediterranean countries is the key., o entendimento correto entre a europa e os países mediterrâneos associados é a chave ,o entendimento correto entre a europa e os países mediterrânicos associados é a chave ,the correct understanding between europe and the associated mediterranean countries is the key 
526, Uma menina está tendo um bom tempo no ar balançando em um balanço.,Uma menina está tendo um bom tempo no ar balançando em um balanço.,A girl is having a good time swinging on a swing in the air., uma menina está tendo um bom tempo no ar balançando em um balanço ,uma menina está tendo um bom tempo no ar balançando em um balanço ,a girl is having a good time swinging on a swing in the air 
527, Dois caras de casacos na praia estão fazendo sinais.,Dois caras de casacos na praia estão fazendo sinais.,Two guys wearing coats on the beach are making signs., dois caras de casacos na praia estão fazendo sinais ,dois caras de casacos na praia estão fazendo sinais ,two guys wearing coats on the beach are making signs 
528, Procurando por ela para ter algo para comer.,Procurando por ela para ter algo para comer,Looking for her to have something to eat., procurando por ela para ter algo para comer ,procurando por ela para ter algo para comer,looking for her to have something to eat 
529, A flor caída não retorna mais ao ramo.,A flor caída não retorna mais ao ramo.,The fallen flower doesn’t returns to the branch., a flor caída não retorna mais ao ramo ,a flor caída não retorna mais ao ramo ,the fallen flower doesn t returns to the branch 
530, Certamente cumpriria os requisitos do meu contrato.,Certamente cumpriria os requisitos do meu contrato.,Fore sure it would meet the requirements of my contract., certamente cumpriria os requisitos do meu contrato ,certamente cumpriria os requisitos do meu contrato ,fore sure it would meet the requirements of my contract 
531, O garoto colocou as pedras na bolsa.,O garoto colocou as pedras na bolsa.,The boy put the stones in the bag., o garoto colocou as pedras na bolsa ,o garoto colocou as pedras na bolsa ,the boy put the stones in the bag 
532, Esta é uma grande temporada para caminhadas na estrada.,Esta é uma grande temporada para caminhadas na estrada.,This is a great season for hikes on the road., esta é uma grande temporada para caminhadas na estrada ,esta é uma grande temporada para caminhadas na estrada ,this is a great season for hikes on the road 
533," Você aprendeu alguma coisa? Perguntou em inglês, ansioso para ouvir o que poderia ser.","""Você aprendeu alguma coisa??"", Perguntou o inglês, ansioso para ouvir o que poderia ser.","""Did you learn anything??"", the English man asked looking forward to hearing what it could be.", você aprendeu alguma coisa perguntou em inglês ansioso para ouvir o que poderia ser , você aprendeu alguma coisa perguntou o inglês ansioso para ouvir o que poderia ser , did you learn anything the english man asked looking forward to hearing what it could be 
534, Ele me disse que a declaração de falência é o último recurso.,Ele me disse que a declaração de falência é o último recurso.,He told me that bankruptcy declaration is the last resource., ele me disse que a declaração de falência é o último recurso ,ele me disse que a declaração de falência é o último recurso ,he told me that bankruptcy declaration is the last resource 
535, Ele teve os nífolos durante todo o dia.,Ele teve sniffles durante todo o dia.,He had sniffles all day., ele teve os nífolos durante todo o dia ,ele teve sniffles durante todo o dia ,he had sniffles all day 
536, Você tem alguém para lavar as fraldas?,Você tem alguém para lavar as fraldas.,You have someone to wash your diapers., você tem alguém para lavar as fraldas ,você tem alguém para lavar as fraldas ,you have someone to wash your diapers 
537, Eu quero esses selos.,Eu quero esses selos!,I want those stamps!, eu quero esses selos ,eu quero esses selos ,i want those stamps 
538, Você disse que eles eram ricos?,Você disse que eles eram ricos?,Did you say they were rich?, você disse que eles eram ricos ,você disse que eles eram ricos ,did you say they were rich 
539, Eu não me importo com qual foto eles estão publicando.,Eu não me importo com qual foto eles estão publicando.,I don't care which picture they're posting., eu não me importo com qual foto eles estão publicando ,eu não me importo com qual foto eles estão publicando ,i don t care which picture they re posting 
540, O sujeito escorregou para a multidão e se perdeu.,O sujeito escorregou para a multidão e se perdeu.,The guy went to the crowd and got lost., o sujeito escorregou para a multidão e se perdeu ,o sujeito escorregou para a multidão e se perdeu ,the guy went to the crowd and got lost 
541, Ela garantiu esse lugar?,Ela garantiu esse lugar?,Did she guarantee this place?, ela garantiu esse lugar ,ela garantiu esse lugar ,did she guarantee this place 
542, Vai sair em carne e osso.,vai sair em carne e osso,Will go out in flesh and blood, vai sair em carne e osso ,vai sair em carne e osso,will go out in flesh and blood
543, A tampa da jarra estava apertada demais para desatar a jarra.,A tampa da jarra estava apertada demais para desatarraxar.,The lid on the jar was too tight to get the lid off., a tampa da jarra estava apertada demais para desatar a jarra ,a tampa da jarra estava apertada demais para desatarraxar ,the lid on the jar was too tight to get the lid off 
544, Aposto que é uma convocação.,Aposto que é uma convocação.,I bet it is an invitation., aposto que é uma convocação ,aposto que é uma convocação ,i bet it is an invitation 
545, Muito obrigado pela bolsa!,Muito obrigado pela bolsa.,Thank you very much for the bag., muito obrigado pela bolsa ,muito obrigado pela bolsa ,thank you very much for the bag 
546, Mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado.,Mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado.,But he decided to buy his bakery first and put some money on the side., mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado ,mas ele decidiu primeiro comprar sua padaria e colocar algum dinheiro de lado ,but he decided to buy his bakery first and put some money on the side 
547," Aquele que muito foge, vive para lutar outro dia.",Aquele que luta e foge? vive para lutar outro dia.,"For he that fights and runs away, May live to fight another day.", aquele que muito foge vive para lutar outro dia ,aquele que luta e foge vive para lutar outro dia ,for he that fights and runs away may live to fight another day 
548, Qualquer comportamento que possa infringir os direitos do professor.,Qualquer comportamento que possa infringir os direitos do professor,Any behavior that may infringe the rights of the teacher..., qualquer comportamento que possa infringir os direitos do professor ,qualquer comportamento que possa infringir os direitos do professor,any behavior that may infringe the rights of the teacher 
549, Um homem em um bronzeado camisa corte alimento.,"Um, homem, em, um, bronzeado, camisa, corte, alimento","One, man, one, tan, shirt, cut, food", um homem em um bronzeado camisa corte alimento ,um homem em um bronzeado camisa corte alimento,one man one tan shirt cut food
550, Você deveria ver isso.,Você deveria ver isso.,You should see this., você deveria ver isso ,você deveria ver isso ,you should see this 
551, É o professor da Kimberly.,É o professor da Kimberly?,Is that Kimberly’s teacher?, é o professor da kimberly ,é o professor da kimberly ,is that kimberly s teacher 
552, Mostre-me os horários dos filmes.,Mostre-me os horários dos filmes,Show me the movie times., mostre me os horários dos filmes ,mostre me os horários dos filmes,show me the movie times 
553, Olhe para esses ombros.,Olhe para esses ombros!,Take a look at those shoulders!, olhe para esses ombros ,olhe para esses ombros ,take a look at those shoulders 
554, Um presentinho do velho.,Um presentinho do velho.,A little present from the old man., um presentinho do velho ,um presentinho do velho ,a little present from the old man 
555, Dez pessoas estão reunidas do lado de fora de um prédio.,Dez pessoas estão reunidas do lado de fora de um prédio.,Ten people are gathered outside the building., dez pessoas estão reunidas do lado de fora de um prédio ,dez pessoas estão reunidas do lado de fora de um prédio ,ten people are gathered outside the building 
556, Um cordão rígido serve para prender o sapato.,Um cordão rígido serve para prender o sapato.,A rigid shoestring is used to secure the shoe., um cordão rígido serve para prender o sapato ,um cordão rígido serve para prender o sapato ,a rigid shoestring is used to secure the shoe 
557, A lâmpada de neon vermelha estava quebrada.,A lâmpada de neon vermelha estava quebrada.,The red neon lamp was broken., a lâmpada de neon vermelha estava quebrada ,a lâmpada de neon vermelha estava quebrada ,the red neon lamp was broken 
558, Um jovem parece estar martelando metal em cima de uma bigorna.,Um jovem parece estar martelando metal em cima de uma bigorna.,A young man seems to be hammering metal on an anvil., um jovem parece estar martelando metal em cima de uma bigorna ,um jovem parece estar martelando metal em cima de uma bigorna ,a young man seems to be hammering metal on an anvil 
559, Um homem careca comendo uma refeição,Um homem careca comendo uma refeição,A bald man eating a meal., um homem careca comendo uma refeição,um homem careca comendo uma refeição,a bald man eating a meal 
560, Um dos aspectos que foi trabalhado no último ciclo foi o design.,Um dos aspectos que foi trabalhado no último ciclo foi o design.,One of the aspects that was worked on during the last cycle was the design., um dos aspectos que foi trabalhado no último ciclo foi o design ,um dos aspectos que foi trabalhado no último ciclo foi o design ,one of the aspects that was worked on during the last cycle was the design 
561, Ela se formou em design de interiores.,Ela se formou em design de interiores,She graduated in interior design., ela se formou em design de interiores ,ela se formou em design de interiores,she graduated in interior design 
562, A qualquer momento poderiam ser assassinados.,"A qualquer momento, poderíamos ser assassinados!","At any moment, we could be killed!", a qualquer momento poderiam ser assassinados ,a qualquer momento poderíamos ser assassinados ,at any moment we could be killed 
563, Continua.,Continua...,To be continued..., continua ,continua ,to be continued 
564, O menino ficou chocado.,O menino ficou chocado.,The boy was shocked., o menino ficou chocado ,o menino ficou chocado ,the boy was shocked 
565, Toque no círculo para escapar.,Toque no círculo para escapar.,Tap the circle to escape., toque no círculo para escapar ,toque no círculo para escapar ,tap the circle to escape 
566, Eles começaram logo em Mesulburnar.,Eles começaram logo em me subornar!,They started bribing me right away!, eles começaram logo em mesulburnar ,eles começaram logo em me subornar ,they started bribing me right away 
567, Um homem toca violão em uma calçada chuvosa.,Um homem toca violão em uma calçada chuvosa.,A man plays the guitar on a rainy sidewalk., um homem toca violão em uma calçada chuvosa ,um homem toca violão em uma calçada chuvosa ,a man plays the guitar on a rainy sidewalk 
568, Leve em conta os grilhões da nova cidade de Taipei.,Leve em conta os grilhões da Nova cidade de Taipei,Take into account the shackles of the New city of Taipei, leve em conta os grilhões da nova cidade de taipei ,leve em conta os grilhões da nova cidade de taipei,take into account the shackles of the new city of taipei
569, Você conhece a Ana?,Você conhece a Ana.,You know Ana., você conhece a ana ,você conhece a ana ,you know ana 
570, Nos vemos na hora do almoço.,Nos vemos na hora do almoço,See you guys at lunch., nos vemos na hora do almoço ,nos vemos na hora do almoço,see you guys at lunch 
571," Bem, esse é um tiro muito longo, mas por que diabos não?","Bem, isso é um tiro muito longo, mas por que diabos não?","Well, that’s a really long shot, but why the hell not?", bem esse é um tiro muito longo mas por que diabos não ,bem isso é um tiro muito longo mas por que diabos não ,well that s a really long shot but why the hell not 
572, Daqui a pouco.,Daqui a pouco.,Shortly., daqui a pouco ,daqui a pouco ,shortly 
573, Eu deveria ter minha cabeça examinada.,Eu deveria ter minha cabeça examinada.,I should get my head examined., eu deveria ter minha cabeça examinada ,eu deveria ter minha cabeça examinada ,i should get my head examined 
574, O Império Romano,O Império Romano.,The Roman Empire., o império romano,o império romano ,the roman empire 
575," Como resultado, cumpri um total de 3 livros.","Como resultado, comprei um total de três livros.","As a result, I bought a grand total of three books.", como resultado cumpri um total de 3 livros ,como resultado comprei um total de três livros ,as a result i bought a grand total of three books 
576, Eu sou tudo que o promotor disse que eu era.,Eu sou tudo que o promotor disse que eu era.,I’m everything the prosecutor said that I was., eu sou tudo que o promotor disse que eu era ,eu sou tudo que o promotor disse que eu era ,i m everything the prosecutor said that i was 
577, Eu não tenho nenhuma opinião sobre quem eu sou.,Eu não tenho nenhuma opinião sobre quem eu sou.,I don’t have any opinion on who I am., eu não tenho nenhuma opinião sobre quem eu sou ,eu não tenho nenhuma opinião sobre quem eu sou ,i don t have any opinion on who i am 
578, O bebê deve chegar na próxima semana.,O bebê deve chegar na próxima semana.,The baby should arrive next week., o bebê deve chegar na próxima semana ,o bebê deve chegar na próxima semana ,the baby should arrive next week 
579, Um grupo de patinadores de gelo de velocidade.,Um grupo de patinadores de gelo de velocidade.,A group of high-speed ice skaters., um grupo de patinadores de gelo de velocidade ,um grupo de patinadores de gelo de velocidade ,a group of high speed ice skaters 
580, O valor das ações da empresa aumentou dramaticamente depois que encontraram um novo medicamento.,O valor das ações da empresa aumentou dramaticamente depois que encontraram um novo medicamento.,The value of the company’s shares rose dramatically after they discovered a new drug., o valor das ações da empresa aumentou dramaticamente depois que encontraram um novo medicamento ,o valor das ações da empresa aumentou dramaticamente depois que encontraram um novo medicamento ,the value of the company s shares rose dramatically after they discovered a new drug 
581," Ei, não vá lá!","Ei,? não vá lá!","Hey, don’t go there!", ei não vá lá ,ei não vá lá ,hey don t go there 
582, Há tantas coisas que eu quero saber que não posso perder um segundo.,Há tantas coisas que eu quero saber que não posso perder um segundo.,There are so many thing I want to know that I can’t miss a second., há tantas coisas que eu quero saber que não posso perder um segundo ,há tantas coisas que eu quero saber que não posso perder um segundo ,there are so many thing i want to know that i can t miss a second 
583," Às vezes, simplesmente não há como segurar o rio.",Às vezes? simplesmente não há como segurar o rio.,There are times when you just can’t hold the river., às vezes simplesmente não há como segurar o rio ,às vezes simplesmente não há como segurar o rio ,there are times when you just can t hold the river 
584, Um cachorro brinca com um brinquedo.,um cachorro brinca com um brinquedo.,A dog plays with a toy., um cachorro brinca com um brinquedo ,um cachorro brinca com um brinquedo ,a dog plays with a toy 
585, A faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento.,A faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento.,The faculty decided to reduce their plan to increase their parking spaces., a faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento ,a faculdade decidiu diminuir seu plano de aumentar seus espaços de estacionamento ,the faculty decided to reduce their plan to increase their parking spaces 
586, Algo dentro do cilindro estava desenroscando o topo.,Algo dentro do cilindro estava desenroscando o topo.,Something inside the cylinder was unscrewing the top., algo dentro do cilindro estava desenroscando o topo ,algo dentro do cilindro estava desenroscando o topo ,something inside the cylinder was unscrewing the top 
587, A noite estava quente e eu estava com sede.,A noite estava quente e eu estava com sede.,The night was hot and I was thirsty., a noite estava quente e eu estava com sede ,a noite estava quente e eu estava com sede ,the night was hot and i was thirsty 
588, Uma garota pula no ar no meio de um parque da cidade.,Uma garota pula no ar no meio de um parque da cidade.,A girl jumps up in the air in the middle of a city park., uma garota pula no ar no meio de um parque da cidade ,uma garota pula no ar no meio de um parque da cidade ,a girl jumps up in the air in the middle of a city park 
589, Tripulação de fotografia se prepara para uma sessão de fotos.,Tripulação de fotografia se preparar para uma sessão de fotos.,Photo crew preparing for a photo shoot., tripulação de fotografia se prepara para uma sessão de fotos ,tripulação de fotografia se preparar para uma sessão de fotos ,photo crew preparing for a photo shoot 
590," De qualquer forma, acho que devemos ser extremamente cautelosos.","De qualquer forma,?, acho que devemos ser extremamente cautelosos.","In any case, I think we should be extremely careful.", de qualquer forma acho que devemos ser extremamente cautelosos ,de qualquer forma acho que devemos ser extremamente cautelosos ,in any case i think we should be extremely careful 
591," Quem tem sol, o que mais você quer?","Quem tem sol, o que mais você quer?","If you have sunshine, what more do you want?", quem tem sol o que mais você quer ,quem tem sol o que mais você quer ,if you have sunshine what more do you want 
592, Pessoas esperando do lado de fora de um edifício à luz do sol.,Pessoas esperando do lado de fora de um edifício à luz do sol.,People waiting outside a building in the sunlight., pessoas esperando do lado de fora de um edifício à luz do sol ,pessoas esperando do lado de fora de um edifício à luz do sol ,people waiting outside a building in the sunlight 
593, O carro é pequeno.,O carro é pequeno,The car is small., o carro é pequeno ,o carro é pequeno,the car is small 
594," Só existe uma maneira de aprender, respondeu o alquimista.","""Só existe uma maneira de aprender?"", respondeu o alquimista.","“Is there only one way to learn?”, the alchemist replied.", só existe uma maneira de aprender respondeu o alquimista , só existe uma maneira de aprender respondeu o alquimista , is there only one way to learn the alchemist replied 
595, Eu estive esperando por você aqui neste oásis por um longo tempo.,Eu estive esperando por você aqui neste oásis por um longo tempo.,I’ve been waiting for you here on this oasis for a long time., eu estive esperando por você aqui neste oásis por um longo tempo ,eu estive esperando por você aqui neste oásis por um longo tempo ,i ve been waiting for you here on this oasis for a long time 
596, Um bom grupo de repórteres.,Um bom grupo de repórteres.,A nice group or journalists., um bom grupo de repórteres ,um bom grupo de repórteres ,a nice group or journalists 
597, A instituição que é completamente inalterada e impessoal é o fóssil.,A instituição que é completamente inalterada em pessoal é o fóssil,The institution that remains completely unchanged in staff is the fossil., a instituição que é completamente inalterada e impessoal é o fóssil ,a instituição que é completamente inalterada em pessoal é o fóssil,the institution that remains completely unchanged in staff is the fossil 
598, Chame a polícia agora!,Chame a polícia agora!,Call the police now!, chame a polícia agora ,chame a polícia agora ,call the police now 
599, Duas pessoas pintando uma parede de tijolos.,Duas pessoas pintando uma parede de tijolos.,Two people painting a brick wall., duas pessoas pintando uma parede de tijolos ,duas pessoas pintando uma parede de tijolos ,two people painting a brick wall 
600, Nos reunimos de novo.,Nos reunimos de novo,We gather again., nos reunimos de novo ,nos reunimos de novo,we gather again 
601, As ovelhas foram levadas para casa por um cachorro.,As ovelhas foram levadas para casa por um cachorro.,The sheep were taken home by a dog., as ovelhas foram levadas para casa por um cachorro ,as ovelhas foram levadas para casa por um cachorro ,the sheep were taken home by a dog 
602, Dois meninos seguram as mãos de um homem.,Dois meninos seguram as mãos de um homem.,Two boys hold a man’s hands., dois meninos seguram as mãos de um homem ,dois meninos seguram as mãos de um homem ,two boys hold a man s hands 
603," É garantido que, para parecer digno, você tem que ficar sério.","É garantido que, para parecer digno, você tem que ficar sério.","It’s guaranteed that, to look worthy, you need to remain serious.", é garantido que para parecer digno você tem que ficar sério ,é garantido que para parecer digno você tem que ficar sério ,it s guaranteed that to look worthy you need to remain serious 
604, Inevitável.,Inevitável,Inevitable, inevitável ,inevitável,inevitable
605, Afetar a circulação sanguínea.,Afetar a circulação sanguínea,Affect blood flow., afetar a circulação sanguínea ,afetar a circulação sanguínea,affect blood flow 
606, Este é o único edifício que não foi afetado pelo fogo.,Este é o único edifício que não foi afetado pelo fogo.,This was the only building that was not struck by the fire., este é o único edifício que não foi afetado pelo fogo ,este é o único edifício que não foi afetado pelo fogo ,this was the only building that was not struck by the fire 
607, Eu quero ouvir o álbum Ikkyo dal Pozo de Konhan.,Eu quero ouvir o álbum Picchio Dal Pozzo de Con Hunley,I want to hear the album Picchio Dal Pozzo de Con Hunley, eu quero ouvir o álbum ikkyo dal pozo de konhan ,eu quero ouvir o álbum picchio dal pozzo de con hunley,i want to hear the album picchio dal pozzo de con hunley
608, Estou feliz.,Estou feliz,I am happy, estou feliz ,estou feliz,i am happy
609, Eu sempre penso que pode haver melhor na frente.,Eu sempre penso que pode haver melhor na frente.,I always believe that there could be something better up ahead., eu sempre penso que pode haver melhor na frente ,eu sempre penso que pode haver melhor na frente ,i always believe that there could be something better up ahead 
610, Um menino de short branco fica em uma torre enferrujada.,Um menino de short branco fica em uma torre enferrujada.,A boy in white shorts stays in a rusty tower., um menino de short branco fica em uma torre enferrujada ,um menino de short branco fica em uma torre enferrujada ,a boy in white shorts stays in a rusty tower 
611, Essa era uma garotinha chamada Mary Hatch.,Essa era uma garotinha chamada Mary Hatch.,That was a little girl named Mary Hatch., essa era uma garotinha chamada mary hatch ,essa era uma garotinha chamada mary hatch ,that was a little girl named mary hatch 
612, eles virão até nós.,Eles virão até nós,They will come to us., eles virão até nós ,eles virão até nós,they will come to us 
613," Quando o ônibus chegar, pegue o ônibus.","Quando o ônibus chegar, pegue o ônibus.","When the bus arrives, take it.", quando o ônibus chegar pegue o ônibus ,quando o ônibus chegar pegue o ônibus ,when the bus arrives take it 
614, Cara fazendo um tiro de basquete com espectadores assistindo.,Cara fazendo um tiro de basquete com espectadores assistindo.,Man taking a basketball throw with spectators watching., cara fazendo um tiro de basquete com espectadores assistindo ,cara fazendo um tiro de basquete com espectadores assistindo ,man taking a basketball throw with spectators watching 
615," Quando chegou ao topo da duna, seu coração pulou.",Quando chegou ao topo da duna? seu coração pulou.,"When he got to the top of the dune, his heart skipped.", quando chegou ao topo da duna seu coração pulou ,quando chegou ao topo da duna seu coração pulou ,when he got to the top of the dune his heart skipped 
616, cresça com raiva lentamente há bastante tempo.,Cresça com raiva lentamente? há bastante tempo.,Grows with anger slowly? For quite some time., cresça com raiva lentamente há bastante tempo ,cresça com raiva lentamente há bastante tempo ,grows with anger slowly for quite some time 
617, O suco de limões faz um bom soco.,O suco de limões faz um bom soco.,Lemon juice makes a good punch., o suco de limões faz um bom soco ,o suco de limões faz um bom soco ,lemon juice makes a good punch 
618, A distância de outras fazendas dedicadas à mesma atividade de 500 metros.,A distância de outras fazendas dedicadas à mesma atividade é de quinhentos metros.,"The distance to other farms dedicated to the same activity, is five hundred meters.", a distância de outras fazendas dedicadas à mesma atividade de 500 metros ,a distância de outras fazendas dedicadas à mesma atividade é de quinhentos metros ,the distance to other farms dedicated to the same activity is five hundred meters 
619," O carro, no entanto, não foi danificado.",O carro no entanto não foi danificado.,"The car, on the other hand, was not damaged.", o carro no entanto não foi danificado ,o carro no entanto não foi danificado ,the car on the other hand was not damaged 
620, Um grupo de pessoas está parado em volta de uma grande fogueira.,Um grupo de pessoas está parado em volta de uma grande fogueira.,A group of people standing by a big bonfire., um grupo de pessoas está parado em volta de uma grande fogueira ,um grupo de pessoas está parado em volta de uma grande fogueira ,a group of people standing by a big bonfire 
621, A tarefa de hoje é escrever uma sinopse do romance recentemente publicado da Tata.,A tarefa de hoje é escrever uma sinopse do romance recentemente publicado da Tata.,Today’s task is to write a summary of Tata’s recently published novel., a tarefa de hoje é escrever uma sinopse do romance recentemente publicado da tata ,a tarefa de hoje é escrever uma sinopse do romance recentemente publicado da tata ,today s task is to write a summary of tata s recently published novel 
622, Uma mulher preparando uma refeição em casa.,Uma mulher preparando uma refeição em casa.,A woman preparing a meal at home., uma mulher preparando uma refeição em casa ,uma mulher preparando uma refeição em casa ,a woman preparing a meal at home 
623, Duas mulheres andando e falando.,Duas mulheres andando e falando.,Two women walking and talking., duas mulheres andando e falando ,duas mulheres andando e falando ,two women walking and talking 
624, Uma competição de tiro com arco com dois homens jogando.,uma competição de tiro com arco com dois homens jogando,An archery competition with two men shooting., uma competição de tiro com arco com dois homens jogando ,uma competição de tiro com arco com dois homens jogando,an archery competition with two men shooting 
625, Eles passaram o fim de semana inteiro jogando videogames.,Eles passaram o fim de semana inteiro jogando video games.,They spent the entire weekend playing video games., eles passaram o fim de semana inteiro jogando videogames ,eles passaram o fim de semana inteiro jogando video games ,they spent the entire weekend playing video games 
626, Você pode me pegar um jogo do Clube Nátio?,Você pode me pegar o jogo do Club Nation?,Can you get the Club Nation game for me?, você pode me pegar um jogo do clube nátio ,você pode me pegar o jogo do club nation ,can you get the club nation game for me 
627, Eu vou matar os dois.,Eu vou matar os dois!,I will kill you both!, eu vou matar os dois ,eu vou matar os dois ,i will kill you both 
628," Para calibrar os sistemas de captura, de novo, por favor faça um tipo de poça.","Para calibrar o sistema de captura de movimento, por favor, faça um T-pose.","To calibrate the motion capture system, please do a T-pose.", para calibrar os sistemas de captura de novo por favor faça um tipo de poça ,para calibrar o sistema de captura de movimento por favor faça um t pose ,to calibrate the motion capture system please do a t pose 
629, O cabelo dela era preto.,O cabelo dela era preto.,Her hair was black., o cabelo dela era preto ,o cabelo dela era preto ,her hair was black 
630, Mais uma menina estava com muito medo de ouvir palavras de sabedoria.,Mas o menino estava com muito medo de ouvir palavras de sabedoria.,But the boy was too scared to hear the words of wisdom., mais uma menina estava com muito medo de ouvir palavras de sabedoria ,mas o menino estava com muito medo de ouvir palavras de sabedoria ,but the boy was too scared to hear the words of wisdom 
631, Como você conseguiu isso?,Como você conseguiu isso?,How did you get that?, como você conseguiu isso ,como você conseguiu isso ,how did you get that 
632," Dias em maio, dias amargos, pães curtos e dias longos.","Dias em maio, dias amargos: pães curtos e dias longos.","Days in May, sour days: short bread and long days.", dias em maio dias amargos pães curtos e dias longos ,dias em maio dias amargos pães curtos e dias longos ,days in may sour days short bread and long days 
633, Velho num passará.,Velho não passará.,Old shall not pass., velho num passará ,velho não passará ,old shall not pass 
634, Boa tarde!,Boa tarde,Good afternoon, boa tarde ,boa tarde,good afternoon
635, Essa música me faz lembrar da minha infância.,Essa música me faz lembrar da minha infância.,That song reminds me of my childhood., essa música me faz lembrar da minha infância ,essa música me faz lembrar da minha infância ,that song reminds me of my childhood 
636, Você não pode entrar lá até que você coloque isso.,Você não pode entrar lá até que você coloque isso.,You can’t go in there until you put this on., você não pode entrar lá até que você coloque isso ,você não pode entrar lá até que você coloque isso ,you can t go in there until you put this on 
637, Ele me deu sua palavra de honra.,Ele me deu sua palavra de honra.,He gave me his word of honor., ele me deu sua palavra de honra ,ele me deu sua palavra de honra ,he gave me his word of honor 
638, Um único cabelo lança uma sombra.,Um único cabelo lança uma sombra.,A single hair casts a shadow., um único cabelo lança uma sombra ,um único cabelo lança uma sombra ,a single hair casts a shadow 
639, Certos aplicativos também incorporam melhorias específicas.,Certos aplicativos também incorporam melhorias específicas.,Some apps include specific improvements., certos aplicativos também incorporam melhorias específicas ,certos aplicativos também incorporam melhorias específicas ,some apps include specific improvements 
640, Dois homens tocando em uma banda.,Dois homens tocando em uma banda.,Two men playing in a band., dois homens tocando em uma banda ,dois homens tocando em uma banda ,two men playing in a band 
641, Este é o menino em uma praia segurando um pedaço de pó.,Este é um menino em uma praia segurando um pedaço de pau.,This is a boy in a beach holding a stick., este é o menino em uma praia segurando um pedaço de pó ,este é um menino em uma praia segurando um pedaço de pau ,this is a boy in a beach holding a stick 
642, Um menino joga na água de uma piscina rasa.,Um menino joga na água de uma piscina rasa.,A boy jumps in the water of a shallow pool., um menino joga na água de uma piscina rasa ,um menino joga na água de uma piscina rasa ,a boy jumps in the water of a shallow pool 
643, Não é nada para mim.,Não é nada para mim.,Nothing there for me., não é nada para mim ,não é nada para mim ,nothing there for me 
644, Um menino louro novo que escova seus dentes na frente de um espelho.,Um menino louro novo que escova seus dentes na frente de um espelho.,"A young blond boy, who brushes his teeth in front of the mirror.", um menino louro novo que escova seus dentes na frente de um espelho ,um menino louro novo que escova seus dentes na frente de um espelho ,a young blond boy who brushes his teeth in front of the mirror 
645, Quantas fatias você gostaria de Santiago?,Quantas fatias você gostaria de Santiago?,"Santiago, how many slices would you like to have?", quantas fatias você gostaria de santiago ,quantas fatias você gostaria de santiago ,santiago how many slices would you like to have 
